"V1","V2"
187.7568,11.9643
187.9092,11.3156
188.0616,10.8157
188.214,10.2782
188.3664,9.8238
188.5188,9.7302
188.6712,10.5043
188.8236,10.7296
188.976,11.6014
189.1284,12.8766
189.2808,13.7532
189.4332,13.9224
189.5856,13.2484
189.738,12.0304
189.8904,11.1354
190.0428,10.4066
190.1952,10.331
190.3476,10.7357
190.5,11.3259
190.6524,11.842
190.8048,11.4113
190.9572,11.0814
191.1096,11.757
191.262,12.3358
191.4144,12.6802
191.5668,12.2531
191.7192,11.9135
191.8716,11.8047
192.024,12.0441
192.1764,12.4744
192.3288,12.5939
192.4812,11.956
192.6336,11.5148
192.786,11.1918
192.9384,10.7875
193.0908,10.9733
193.2432,11.8295
193.3956,12.2677
193.548,12.1913
193.7004,11.9575
193.8528,11.6128
194.0052,11.9722
194.1576,11.2577
194.31,10.3475
194.4624,9.665
194.6148,10.3025
194.7672,11.2874
194.9196,11.4232
195.072,11.2607
195.2244,11.2054
195.3768,11.9594
195.5292,12.9361
195.6816,13.4513
195.834,13.4242
195.9864,13.0728
196.1388,11.7395
196.2912,10.7409
196.4436,9.7086
196.596,9.8603
196.7484,10.2296
196.9008,10.5045
197.0532,10.8473
197.2056,11.7101
197.358,12.4565
197.5104,12.2466
197.6628,11.8777
197.8152,11.15
197.9676,10.8952
198.12,11.9785
198.2724,12.9712
198.4248,13.8849
198.5772,14.3924
198.7296,14.0418
198.882,13.608
199.0344,13.5555
199.1868,13.3517
199.3392,12.5423
199.4916,11.4594
199.644,10.6606
199.7964,10.2112
199.9488,10.3563
200.1012,10.5555
200.2536,11.12
200.406,11.03
200.5584,10.6113
200.7108,10.4138
200.8632,10.7734
201.0156,11.9655
201.168,13.2581
201.3204,13.1987
201.4728,13.4477
201.6252,13.8059
201.7776,14.9212
201.93,15.0038
202.0824,14.8161
202.2348,14.905
202.3872,14.7766
202.5396,14.0233
202.692,13.2786
202.8444,11.8936
202.9968,11.504
203.1492,11.7758
203.3016,12.0325
203.454,12.0609
203.6064,12.4391
203.7588,13.0048
203.9112,13.6518
204.0636,14.1212
204.216,13.7405
204.3684,12.8004
204.5208,12.2192
204.6732,12.3155
204.8256,13.0834
204.978,12.9663
205.1304,12.3541
205.2828,11.7552
205.4352,11.6424
205.5876,12.3581
205.74,12.0363
205.8924,11.5955
206.0448,11.715
206.1972,12.212
206.3496,12.0206
206.502,11.5093
206.6544,11.5644
206.8068,11.8306
206.9592,11.7263
207.1116,11.6775
207.264,11.7818
207.4164,11.974
207.5688,12.2062
207.7212,11.1704
207.8736,10.4292
208.026,10.6383
208.1784,11.7091
208.3308,12.1194
208.4832,11.4764
208.6356,11.2776
208.788,11.1399
208.9404,11.5575
209.0928,12.2124
209.2452,12.3812
209.3976,12.2108
209.55,11.607
209.7024,11.0872
209.8548,10.8903
210.0072,11.2332
210.1596,12.3184
210.312,13.1691
210.4644,13.2691
210.6168,12.7308
210.7692,12.4732
210.9216,12.446
211.074,11.9042
211.2264,12.1013
211.3788,12.9412
211.5312,13.3999
211.6836,13.3175
211.836,12.5628
211.9884,11.5494
212.1408,11.9225
212.2932,12.3931
212.4456,12.6742
212.598,12.4783
212.7504,11.8175
212.9028,11.0707
213.0552,10.6047
213.2076,10.2104
213.36,10.0418
213.5124,10.2104
213.6648,10.7639
213.8172,11.747
213.9696,12.4574
214.122,13.0116
214.2744,13.495
214.4268,14.0186
214.5792,14.2566
214.7316,13.727
214.884,12.7825
215.0364,12.6995
215.1888,12.9257
215.3412,12.6092
215.4936,11.9235
215.646,10.8145
215.7984,10.3958
215.9508,10.6093
216.1032,11.4457
216.2556,12.4074
216.408,12.9561
216.5604,12.9215
216.7128,12.5606
216.8652,12.3075
217.0176,12.3401
217.17,12.4316
217.3224,12.6738
217.4748,13.2629
217.6272,14.2397
217.7796,15.2555
217.932,15.2536
218.0844,14.8504
218.2368,15.2902
218.3892,15.4473
218.5416,14.9823
218.694,13.8071
218.8464,13.1959
218.9988,12.7074
219.1512,12.1903
219.3036,11.8079
219.456,11.414
219.6084,11.7507
219.7608,12.3875
219.9132,12.4923
220.0656,12.3202
220.218,12.2801
220.3704,12.5374
220.5228,13.0007
220.6752,12.8374
220.8276,12.3801
220.98,11.9443
221.1324,11.6644
221.2848,11.442
221.4372,11.2291
221.5896,11.2199
221.742,11.8845
221.8944,12.7428
222.0468,13.4726
222.1992,14.0894
222.3516,14.6895
222.504,15.2066
222.6564,15.6517
222.8088,15.2264
222.9612,14.2315
223.1136,13.323
223.266,12.4645
223.4184,11.6541
223.5708,11.2367
223.7232,11.2806
223.8756,11.7302
224.028,12.1367
224.1804,11.9133
224.3328,11.3823
224.4852,10.8
224.6376,10.6156
224.79,11.4215
224.9424,12.5604
225.0948,12.9693
225.2472,12.7868
225.3996,12.489
225.552,12.3457
225.7044,12.3885
225.8568,12.7547
226.0092,13.4369
226.1616,13.7118
226.314,13.2068
226.4664,12.5034
226.6188,12.1455
226.7712,12.0984
226.9236,12.5967
227.076,13.3187
227.2284,13.54
227.3808,13.2463
227.5332,13.1015
227.6856,13.1383
227.838,13.4933
227.9904,14.0054
228.1428,13.8539
228.2952,13.2984
228.4476,12.7391
228.6,12.4931
228.7524,12.6702
228.9048,13.2568
229.0572,13.7099
229.2096,14.2822
229.362,14.6468
229.5144,14.8194
229.6668,14.9478
229.8192,14.9513
229.9716,14.7144
230.124,14.1685
230.2764,13.3705
230.4288,12.2414
230.5812,11.5348
230.7336,11.8722
230.886,12.5901
231.0384,12.7693
231.1908,12.5012
231.3432,12.1085
231.4956,11.8286
231.648,11.9207
231.8004,12.4347
231.9528,12.7617
232.1052,12.5324
232.2576,12.4878
232.41,12.9069
232.5624,13.7346
232.7148,14.4786
232.8672,15.2934
233.0196,15.8528
233.172,16.1687
233.3244,16.333
233.4768,16.2454
233.6292,15.5299
233.7816,14.8722
233.934,14.488
234.0864,14.3619
234.2388,14.5989
234.3912,14.6455
234.5436,14.3667
234.696,13.9486
234.8484,13.2959
235.0008,12.634
235.1532,12.1571
235.3056,12.5524
235.458,13.2116
235.6104,13.7675
235.7628,13.9689
235.9152,13.8035
236.0676,13.4486
236.22,13.1708
236.3724,12.8086
236.5248,13.0275
236.6772,13.5636
236.8296,13.9042
236.982,13.8932
237.1344,13.4786
237.2868,13.1193
237.4392,12.8757
237.5916,13.0916
237.744,13.6135
237.8964,13.9404
238.0488,14.0457
238.2012,13.4678
238.3536,12.5064
238.506,12.2102
238.6584,12.6285
238.8108,13.217
238.9632,13.163
239.1156,12.6681
239.268,12.5646
239.4204,12.7393
239.5728,13.3062
239.7252,13.9318
239.8776,14.538
240.03,14.6248
240.1824,14.4874
240.3348,15.0152
240.4872,15.7434
240.6396,16.2399
240.792,15.6174
240.9444,14.7594
241.0968,14.2891
241.2492,13.6293
241.4016,13.6813
241.554,14.655
241.7064,14.8968
241.8588,14.592
242.0112,15.2257
242.1636,15.9802
242.316,16.2283
242.4684,16.2152
242.6208,16.2228
242.7732,16.3434
242.9256,15.6883
243.078,14.7405
243.2304,14.6184
243.3828,15.0102
243.5352,15.0291
243.6876,14.4483
243.84,13.7612
243.9924,13.1647
244.1448,13.1499
244.2972,13.666
244.4496,14.4644
244.602,15.1967
244.7544,15.8701
244.9068,16.5317
245.0592,16.7591
245.2116,16.0886
245.364,14.9893
245.5164,14.7306
245.6688,14.9329
245.8212,15.4515
245.9736,16.1657
246.126,16.4307
246.2784,16.457
246.4308,16.2839
246.5832,15.5319
246.7356,15.0591
246.888,13.5745
247.0404,12.0377
247.1928,11.817
247.3452,12.0439
247.4976,12.6665
247.65,13.4972
247.8024,13.8722
247.9548,13.7279
248.1072,13.6231
248.2596,14.0509
248.412,14.7434
248.5644,15.2329
248.7168,15.2969
248.8692,14.5407
249.0216,13.563
249.174,12.9937
249.3264,13.4339
249.4788,13.4559
249.6312,13.5885
249.7836,14.3022
249.936,15.0568
250.0884,15.8904
250.2408,16.0336
250.3932,15.7779
250.5456,14.8481
250.698,13.8531
250.8504,13.4507
251.0028,13.302
251.1552,13.505
251.3076,13.7813
251.46,13.2115
251.6124,12.986
251.7648,13.3026
251.9172,13.2495
252.0696,13.0935
252.222,12.7364
252.3744,12.3434
252.5268,12.137
252.6792,11.9234
252.8316,11.9082
252.984,11.9881
253.1364,12.4476
253.2888,12.8743
253.4412,12.675
253.5936,12.4286
253.746,12.0935
253.8984,12.2034
254.0508,12.703
254.2032,13.2984
254.3556,13.7807
254.508,13.8786
254.6604,13.3516
254.8128,12.6244
254.9652,12.2468
255.1176,12.1575
255.27,12.052
255.4224,12.1853
255.5748,12.497
255.7272,12.8184
255.8796,12.8102
256.032,12.0785
256.1844,11.5025
256.3368,11.1856
256.4892,11.1418
256.6416,11.5689
256.794,12.1542
256.9464,12.6057
257.0988,13.0969
257.2512,13.45
257.4036,13.4035
257.556,13.3454
257.7084,13.0629
257.8608,12.4648
258.0132,12.1935
258.1656,12.2107
258.318,12.5214
258.4704,12.4679
258.6228,12.0858
258.7752,11.7147
258.9276,11.5215
259.08,10.9992
259.2324,10.9098
259.3848,11.1745
259.5372,11.6628
259.6896,11.7845
259.842,11.9021
259.9944,12.2322
260.1468,12.7923
260.2992,13.3852
260.4516,14.1283
260.604,14.6437
260.7564,14.8331
260.9088,14.2626
261.0612,13.6708
261.2136,13.3586
261.366,13.465
261.5184,13.9602
261.6708,14.5411
261.8232,14.896
261.9756,15.0487
262.128,15.6164
262.2804,16.3088
262.4328,17.1162
262.5852,17.876
262.7376,18.441
262.89,18.5166
263.0424,17.6443
263.1948,17.3663
263.3472,17.535
263.4996,17.4326
263.652,16.7725
263.8044,15.8297
263.9568,15.3761
264.1092,15.4309
264.2616,15.3216
264.414,15.1785
264.5664,15.0257
264.7188,14.9603
264.8712,14.9698
265.0236,14.9056
265.176,14.3527
265.3284,14.01
265.4808,13.6981
265.6332,13.3359
265.7856,13.0679
265.938,12.9762
266.0904,12.8873
266.2428,13.2321
266.3952,13.7524
266.5476,14.6131
266.7,15.262
266.8524,15.6843
267.0048,15.7492
267.1572,15.5463
267.3096,14.7815
267.462,14.2144
267.6144,12.804
267.7668,12.1416
267.9192,11.9186
268.0716,11.6623
268.224,11.1357
268.3764,12.1517
268.5288,13.2632
268.6812,13.1278
268.8336,12.6159
268.986,12.2099
269.1384,11.9753
269.2908,11.9504
269.4432,12.0112
269.5956,12.3526
269.748,12.2764
269.9004,11.7608
270.0528,11.1615
270.2052,11.5395
270.3576,12.1977
270.51,12.5751
270.6624,12.8023
270.8148,12.9109
270.9672,12.8541
271.1196,12.4369
271.272,11.9435
271.4244,11.5626
271.5768,11.3583
271.7292,11.2384
271.8816,11.1859
272.034,11.2386
272.1864,11.2354
272.3388,11.1408
272.4912,11.005
272.6436,11.1461
272.796,11.8419
272.9484,12.7109
273.1008,13.1514
273.2532,13.2182
273.4056,13.4633
273.558,13.2424
273.7104,12.8097
273.8628,12.4436
274.0152,12.2988
274.1676,12.6425
274.32,12.7422
274.4724,12.6184
274.6248,12.4321
274.7772,11.7333
274.9296,11.1937
275.082,11.0381
275.2344,11.4219
275.3868,11.0097
275.5392,10.6346
275.6916,10.482
275.844,10.7835
275.9964,10.7297
276.1488,10.6249
276.3012,10.8745
276.4536,11.704
276.606,11.8165
276.7584,12.1001
276.9108,12.9105
277.0632,13.0908
277.2156,12.8025
277.368,12.9021
277.5204,13.2567
277.6728,12.8752
277.8252,12.4189
277.9776,11.7141
278.13,11.6696
278.2824,11.4421
278.4348,10.9311
278.5872,10.4149
278.7396,9.908
278.892,9.8778
279.0444,10.1682
279.1968,10.7565
279.3492,11.414
279.5016,11.61
279.654,11.5727
279.8064,11.4263
279.9588,11.6971
280.1112,12.4084
280.2636,12.6885
280.416,12.0484
280.5684,11.2198
280.7208,10.607
280.8732,10.5139
281.0256,11.0077
281.178,11.6257
281.3304,12.4267
281.4828,13.4699
281.6352,13.2778
281.7876,12.3241
281.94,11.8681
282.0924,11.9697
282.2448,12.0215
282.3972,12.2871
282.5496,12.2855
282.702,12.1574
282.8544,12.172
283.0068,12.753
283.1592,12.7749
283.3116,12.2714
283.464,11.8796
283.6164,11.5119
283.7688,11.1557
283.9212,11.084
284.0736,11.4266
284.226,11.8308
284.3784,11.6757
284.5308,11.4087
284.6832,11.4346
284.8356,11.8538
284.988,12.39
285.1404,12.779
285.2928,13.0663
285.4452,13.447
285.5976,13.9853
285.75,14.2298
285.9024,14.4
286.0548,14.3678
286.2072,13.9467
286.3596,13.3061
286.512,12.496
286.6644,11.9076
286.8168,11.4924
286.9692,11.7606
287.1216,13.1502
287.274,13.6659
287.4264,13.1273
287.5788,13.4259
287.7312,13.9597
287.8836,14.3525
288.036,14.5213
288.1884,14.436
288.3408,14.1742
288.4932,14.1981
288.6456,14.1076
288.798,14.1525
288.9504,14.3892
289.1028,14.9033
289.2552,16.0744
289.4076,16.5907
289.56,16.7726
289.7124,16.6083
289.8648,16.5517
290.0172,16.8784
290.1696,17.1876
290.322,16.9817
290.4744,17.1363
290.6268,17.4112
290.7792,17.0921
290.9316,16.5233
291.084,16.423
291.2364,16.9905
291.3888,17.9617
291.5412,18.2641
291.6936,18.2616
291.846,18.3138
291.9984,18.5393
292.1508,18.3152
292.3032,17.8726
292.4556,17.4002
292.608,16.6724
292.7604,15.7852
292.9128,14.7755
293.0652,13.8084
293.2176,13.3477
293.37,13.3765
293.5224,13.3141
293.6748,12.734
293.8272,12.211
293.9796,12.418
294.132,12.4388
294.2844,12.4411
294.4368,12.8657
294.5892,12.6556
294.7416,12.5499
294.894,12.9846
295.0464,13.2579
295.1988,13.4891
295.3512,13.3954
295.5036,12.8346
295.656,12.1343
295.8084,11.6603
295.9608,11.6896
296.1132,11.8878
296.2656,12.3836
296.418,12.9153
296.5704,12.8986
296.7228,11.9751
296.8752,11.3184
297.0276,11.4673
297.18,12.1686
297.3324,12.5123
297.4848,12.2463
297.6372,11.816
297.7896,11.4692
297.942,11.3091
298.0944,11.3311
298.2468,12.2097
298.3992,12.9004
298.5516,13.0702
298.704,12.904
298.8564,12.9756
299.0088,13.2191
299.1612,13.5019
299.3136,13.2592
299.466,13.0302
299.6184,12.4348
299.7708,11.9158
299.9232,11.65
300.0756,11.4453
300.228,11.295
300.3804,11.3363
300.5328,11.8584
300.6852,12.6881
300.8376,13.3681
300.99,13.5542
301.1424,12.9865
301.2948,12.7441
301.4472,13.4629
301.5996,13.7368
301.752,13.5323
301.9044,13.6795
302.0568,13.7508
302.2092,14.1851
302.3616,14.8678
302.514,14.4404
302.6664,14.0318
302.8188,13.6535
302.9712,13.3565
303.1236,13.2907
303.276,13.4
303.4284,13.6645
303.5808,13.92
303.7332,14.0788
303.8856,14.2194
304.038,14.7349
304.1904,15.4217
304.3428,16.1818
304.4952,16.6735
304.6476,16.739
304.8,17.0169
304.9524,17.122
305.1048,16.4502
305.2572,15.5015
305.4096,15.303
305.562,15.2109
305.7144,14.959
305.8668,13.9734
306.0192,13.0081
306.1716,12.0002
306.324,11.8859
306.4764,12.4528
306.6288,13.4895
306.7812,14.4645
306.9336,15.5642
307.086,15.9508
307.2384,15.4952
307.3908,15.5633
307.5432,16.0117
307.6956,17.155
307.848,18.4495
308.0004,18.1977
308.1528,17.1597
308.3052,16.0922
308.4576,14.7325
308.61,13.953
308.7624,13.6304
308.9148,13.4125
309.0672,13.6914
309.2196,14.4062
309.372,15.6772
309.5244,16.6658
309.6768,17.4951
309.8292,17.152
309.9816,16.8065
310.134,17.2321
310.2864,17.6303
310.4388,17.3564
310.5912,17.6057
310.7436,17.1713
310.896,16.7423
311.0484,16.6838
311.2008,16.9747
311.3532,17.0478
311.5056,16.9962
311.658,16.5772
311.8104,15.899
311.9628,16.2644
312.1152,16.8601
312.2676,17.9587
312.42,18.2553
312.5724,17.878
312.7248,17.0835
312.8772,16.1994
313.0296,15.1612
313.182,14.8375
313.3344,15.5519
313.4868,16.2705
313.6392,16.4559
313.7916,15.7438
313.944,14.7424
314.0964,14.2778
314.2488,14.4121
314.4012,15.0219
314.5536,15.5186
314.706,15.4983
314.8584,15.1777
315.0108,14.6212
315.1632,14.0883
315.3156,13.8803
315.468,13.4779
315.6204,13.1699
315.7728,12.8945
315.9252,12.7426
316.0776,12.9047
316.23,13.1577
316.3824,13.4939
316.5348,13.1746
316.6872,12.1181
316.8396,11.2168
316.992,11.9648
317.1444,12.5854
317.2968,12.7545
317.4492,12.8527
317.6016,13.0762
317.754,13.684
317.9064,14.2243
318.0588,14.499
318.2112,14.1957
318.3636,14.0545
318.516,13.8415
318.6684,13.6399
318.8208,13.7562
318.9732,14.5705
319.1256,14.8006
319.278,15.3608
319.4304,15.8862
319.5828,15.4309
319.7352,14.4766
319.8876,13.4233
320.04,12.9214
320.1924,12.936
320.3448,12.5208
320.4972,12.7865
320.6496,12.7816
320.802,12.2942
320.9544,12.4467
321.1068,12.0918
321.2592,11.8301
321.4116,11.8276
321.564,12.3332
321.7164,13.0332
321.8688,13.3809
322.0212,13.3182
322.1736,13.1857
322.326,13.5286
322.4784,13.4349
322.6308,12.89
322.7832,12.7445
322.9356,12.8836
323.088,13.4765
323.2404,14.2284
323.3928,15.0823
323.5452,15.3376
323.6976,14.562
323.85,14.0131
324.0024,13.9891
324.1548,13.7258
324.3072,13.9648
324.4596,14.6289
324.612,15.5388
324.7644,15.5528
324.9168,15.234
325.0692,15.5732
325.2216,16.5551
325.374,17.2374
325.5264,17.4214
325.6788,16.916
325.8312,15.8647
325.9836,15.2192
326.136,15.207
326.2884,15.2616
326.4408,15.3473
326.5932,15.8814
326.7456,16.9139
326.898,17.1292
327.0504,16.523
327.2028,15.9819
327.3552,15.7121
327.5076,15.8392
327.66,16.1864
327.8124,16.3819
327.9648,16.1492
328.1172,15.7348
328.2696,15.993
328.422,16.4641
328.5744,16.4339
328.7268,15.5894
328.8792,15.3971
329.0316,16.2389
329.184,16.7302
329.3364,16.7585
329.4888,17.0541
329.6412,18.0503
329.7936,19.3476
329.946,20.6098
330.0984,21.6957
330.2508,22.6693
330.4032,23.8356
330.5556,25.111
330.708,26.1169
330.8604,25.5234
331.0128,24.2032
331.1652,22.3773
331.3176,20.5847
331.47,18.6053
331.6224,17.1002
331.7748,16.2287
331.9272,16.2668
332.0796,16.3958
332.232,16.2272
332.3844,15.493
332.5368,15.1856
332.6892,15.5137
332.8416,15.9918
332.994,16.8349
333.1464,17.5425
333.2988,17.6243
333.4512,16.7049
333.6036,15.627
333.756,15.397
333.9084,15.0065
334.0608,13.782
334.2132,13.4346
334.3656,13.4887
334.518,13.5837
334.6704,13.6923
334.8228,14.1867
334.9752,14.8208
335.1276,14.7597
335.28,14.7944
335.4324,15.0709
335.5848,15.2277
335.7372,15.0879
335.8896,14.7157
336.042,14.9201
336.1944,15.2935
336.3468,15.5526
336.4992,15.132
336.6516,14.8241
336.804,14.8433
336.9564,15.4804
337.1088,15.945
337.2612,15.8502
337.4136,15.9343
337.566,16.41
337.7184,16.8399
337.8708,16.5606
338.0232,15.882
338.1756,15.1642
338.328,14.7636
338.4804,14.9418
338.6328,14.7585
338.7852,14.3004
338.9376,13.3225
339.09,12.3812
339.2424,12.2665
339.3948,12.3051
339.5472,12.5055
339.6996,12.3459
339.852,11.6028
340.0044,11.2557
340.1568,11.9801
340.3092,13.0082
340.4616,14.0005
340.614,14.7839
340.7664,15.2385
340.9188,15.2219
341.0712,14.7076
341.2236,14.2395
341.376,13.7664
341.5284,13.4063
341.6808,13.3923
341.8332,13.5723
341.9856,12.8715
342.138,11.9368
342.2904,11.4817
342.4428,11.489
342.5952,11.6563
342.7476,12.0747
342.9,12.1009
343.0524,11.6155
343.2048,11.3408
343.3572,11.5207
343.5096,12.1721
343.662,12.3872
343.8144,12.3046
343.9668,11.9007
344.1192,11.5718
344.2716,11.4723
344.424,11.9995
344.5764,12.6978
344.7288,12.7773
344.8812,11.8368
345.0336,11.3606
345.186,10.9525
345.3384,10.7926
345.4908,10.9043
345.6432,11.3843
345.7956,11.8917
345.948,12.3223
346.1004,13.1687
346.2528,14.1515
346.4052,15.7164
346.5576,17.1447
346.71,18.4907
346.8624,19.3621
347.0148,18.623
347.1672,17.0799
347.3196,15.8992
347.472,15.6459
347.6244,16.2108
347.7768,16.1073
347.9292,15.0627
348.0816,14.7903
348.234,15.7465
348.3864,16.9959
348.5388,17.9709
348.6912,18.2521
348.8436,17.57
348.996,17.7654
349.1484,18.4488
349.3008,19.2688
349.4532,19.9007
349.6056,20.0934
349.758,19.9639
349.9104,19.7627
350.0628,20.1912
350.2152,20.8613
350.3676,21.6624
350.52,22.3029
350.6724,22.6115
350.8248,21.943
350.9772,20.4857
351.1296,19.4207
351.282,18.933
351.4344,18.5567
351.5868,17.7829
351.7392,17.58
351.8916,16.9073
352.044,16.1473
352.1964,16.4056
352.3488,17.2775
352.5012,18.2059
352.6536,18.3577
352.806,17.6257
352.9584,16.9864
353.1108,16.8609
353.2632,16.9337
353.4156,17.245
353.568,17.0384
353.7204,16.2631
353.8728,15.4277
354.0252,14.8055
354.1776,14.9563
354.33,15.827
354.4824,16.6648
354.6348,17.1195
354.7872,16.6628
354.9396,16.4621
355.092,17.0869
355.2444,17.1097
355.3968,16.6566
355.5492,15.8868
355.7016,15.2128
355.854,14.6222
356.0064,14.5107
356.1588,15.1002
356.3112,15.8222
356.4636,16.7077
356.616,17.8309
356.7684,18.8438
356.9208,19.6709
357.0732,19.9824
357.2256,18.8635
357.378,18.8603
357.5304,19.1309
357.6828,17.8127
357.8352,16.2961
357.9876,15.3543
358.14,15.6212
358.2924,14.5917
358.4448,14.2675
358.5972,14.4525
358.7496,14.2846
358.902,13.7639
359.0544,14.1927
359.2068,14.6015
359.3592,13.6081
359.5116,12.9612
359.664,12.5213
359.8164,12.4501
