"","depth_mm","Ca"
"1",0,95.4971428571429
"2",0.095,103.386363636364
"3",0.19,102.022727272727
"4",0.285,99.4915254237288
"5",0.38,97.9269662921348
"6",0.475,99.2865168539326
"7",0.57,98.7262569832402
"8",0.665,96.7055555555555
"9",0.76,98.8839779005525
"10",0.855,95.2872928176796
"11",0.95,96.4696132596685
"12",1.045,94.1049723756906
"13",1.14,97.5138121546961
"14",1.235,95.2596685082873
"15",1.33,94.3646408839779
"16",1.425,97.6574585635359
"17",1.52,96.3314917127072
"18",1.615,100.038674033149
"19",1.71,97.2817679558011
"20",1.805,95.7237569060773
"21",1.9,97.5580110497238
"22",1.995,100.24861878453
"23",2.09,98.5580110497238
"24",2.185,96.1381215469613
"25",2.28,96.4806629834254
"26",2.375,95.5966850828729
"27",2.47,98.6961325966851
"28",2.565,100.497237569061
"29",2.66,100.618784530387
"30",2.755,94.8729281767956
"31",2.85,96.2265193370166
"32",2.945,94.5138121546961
"33",3.04,93.6574585635359
"34",3.135,94.7900552486188
"35",3.23,98.3591160220994
"36",3.325,97.2154696132597
"37",3.42,97.2596685082873
"38",3.515,95.7790055248619
"39",3.61,97.5359116022099
"40",3.705,97.0276243093923
"41",3.8,98.7955801104972
"42",3.895,100.480662983425
"43",3.99,99.3370165745856
"44",4.085,94.7403314917127
"45",4.18,95.5580110497238
"46",4.275,94.7624309392265
"47",4.37,93.9889502762431
"48",4.465,98.1381215469613
"49",4.56,92.0773480662983
"50",4.655,95.8729281767956
"51",4.75,92.7513812154696
"52",4.845,94.1988950276243
"53",4.94,93.6740331491713
"54",5.035,91.4806629834254
"55",5.13,91.7182320441989
"56",5.225,94.414364640884
"57",5.32,96.1988950276243
"58",5.415,95.8397790055249
"59",5.51,94.7734806629834
"60",5.605,94.8895027624309
"61",5.7,96.4530386740332
"62",5.795,92.7292817679558
"63",5.89,92.5138121546961
"64",5.985,93.5303867403315
"65",6.08,92.5524861878453
"66",6.175,94.7513812154696
"67",6.27,96.3701657458564
"68",6.365,92.7237569060773
"69",6.46,89.5635359116022
"70",6.555,93.9337016574586
"71",6.65,95.1546961325967
"72",6.745,90.4640883977901
"73",6.84,91.5524861878453
"74",6.935,93.5580110497238
"75",7.03,91.3867403314917
"76",7.125,90.2209944751381
"77",7.22,89.4475138121547
"78",7.315,88.4972375690608
"79",7.41,87.7790055248619
"80",7.505,84.6022099447514
"81",7.6,86.7016574585635
"82",7.695,87.4033149171271
"83",7.79,87.8453038674033
"84",7.885,89.4696132596685
"85",7.98,89.6353591160221
"86",8.075,91.7900552486188
"87",8.17,91.7734806629834
"88",8.265,92.1325966850829
"89",8.36,93.1325966850829
"90",8.455,92.9005524861878
"91",8.55,93.5138121546961
"92",8.645,93.3259668508287
"93",8.74,90.6740331491713
"94",8.835,92.0220994475138
"95",8.93,89.767955801105
"96",9.025,91.6574585635359
"97",9.12,93.9116022099447
"98",9.215,96.353591160221
"99",9.31,94.1104972375691
"100",9.405,93.9281767955801
"101",9.5,93.9281767955801
"102",9.595,91.6022099447514
"103",9.69,90.707182320442
"104",9.785,96.2596685082873
"105",9.88,95.8508287292818
"106",9.975,94.8342541436464
"107",10.07,96.6132596685083
"108",10.165,97.121546961326
"109",10.26,96.6243093922652
"110",10.355,99.5193370165746
"111",10.45,99.4198895027624
