DEPTH_WMSF,HCGR,helper
41.7576,5.4892,1
41.91,5.518,1
42.0624,5.3596,1
42.2148,6.052,1
42.3672,6.8132,1
42.5196,6.326,1
42.672,6.1064,1
42.8244,5.9636,1
42.9768,5.9296,1
43.1292,7.0612,1
43.2816,7.0728,1
43.434,7.1668,1
43.5864,6.9704,1
43.7388,6.0772,1
43.8912,5.2924,1
44.0436,4.2884,1
44.196,4.1464,1
44.3484,4.5184,1
44.5008,5.32,1
44.6532,6.0168,1
44.8056,5.65,1
44.958,4.8928,1
45.1104,4.9948,1
45.2628,6.9108,1
45.4152,7.2808,1
45.5676,7.082,1
45.72,6.8188,1
45.8724,7.0096,1
46.0248,6.7568,1
46.1772,7.5196,1
46.3296,7.6976,1
46.482,7.2092,1
46.6344,7.4212,1
46.7868,7.6476,1
46.9392,6.076,1
47.0916,5.8668,1
47.244,6.3628,1
47.3964,7.5352,1
47.5488,6.8136,1
47.7012,6.7944,1
47.8536,7.6068,1
48.006,8.7464,1
48.1584,8.5496,1
48.3108,8.1632,1
48.4632,8.9904,1
48.6156,8.4696,1
48.768,6.9168,1
48.9204,8.2872,1
49.0728,8.3196,1
49.2252,7.7632,1
49.3776,6.5056,1
49.53,5.8176,1
49.6824,5.7408,1
49.8348,7.572,1
49.9872,8.4784,1
50.1396,7.3712,1
50.292,7.7504,1
50.4444,8.3708,1
50.5968,6.8692,1
50.7492,6.2328,1
50.9016,6.1952,1
51.054,7.0836,1
51.2064,7.9708,1
51.3588,8.7456,1
51.5112,7.7868,1
51.6636,6.2748,1
51.816,5.9012,1
51.9684,5.0232,1
52.1208,4.7084,1
52.2732,6.196,1
52.4256,7.16,1
52.578,7.2904,1
52.7304,7.5596,1
52.8828,7.8652,1
53.0352,8.056,1
53.1876,8.3384,1
53.34,8.06,1
53.4924,8.4,1
53.6448,9.2048,1
53.7972,9.4984,1
53.9496,7.3564,1
54.102,6.4948,1
54.2544,7.6628,1
54.4068,8.3232,1
54.5592,9.1052,1
54.7116,10.702,1
54.864,13.2396,1
55.0164,14.8972,1
55.1688,13.088,1
55.3212,12.3564,1
55.4736,12.008,1
55.626,15.0452,1
55.7784,15.4888,1
55.9308,13.7852,1
56.0832,10.4308,1
56.2356,9.7764,1
56.388,10.3068,1
56.5404,9.0576,1
56.6928,8.56,1
56.8452,8.3492,1
56.9976,8.3224,1
57.15,8.2584,1
57.3024,7.5188,1
57.4548,7.0336,1
57.6072,7.9752,1
57.7596,9.8216,1
57.912,10.1348,1
58.0644,9.6216,1
58.2168,9.9192,1
58.3692,8.4092,1
58.5216,7.4788,1
58.674,6.8732,1
58.8264,6.196,1
58.9788,6.6552,1
59.1312,6.2156,1
59.2836,6.1744,1
59.436,5.5092,1
59.5884,6.7164,1
59.7408,6.2808,1
59.8932,6.7532,1
60.0456,6.7604,1
60.198,6.34,1
60.3504,7.0632,1
60.5028,10.7888,1
60.6552,12.2368,1
60.8076,12.5276,1
60.96,11.6676,1
61.1124,10.9936,1
61.2648,10.6608,1
61.4172,10.204,1
61.5696,10.0352,1
61.722,10.4004,1
61.8744,11.6012,1
62.0268,12.5996,1
62.1792,9.9216,1
62.3316,8.5984,1
62.484,8.2216,1
62.6364,8.558,1
62.7888,8.5396,1
62.9412,7.4252,1
63.0936,7.084,1
63.246,6.8172,1
63.3984,7.0684,1
63.5508,7.4588,1
63.7032,5.9152,1
63.8556,3.9728,1
64.008,3.5364,1
64.1604,3.1052,1
64.3128,2.7916,1
64.4652,4.4568,1
64.6176,5.4528,1
64.77,4.9948,1
64.9224,5.0768,1
65.0748,4.742,1
65.2272,4.5972,1
65.3796,5.2964,1
65.532,7.2508,1
65.6844,8.064,1
65.8368,7.21,1
65.9892,6.3696,1
66.1416,4.7712,1
66.294,4.1436,1
66.4464,5.7316,1
66.5988,5.8868,1
66.7512,6.1988,1
66.9036,5.3288,1
67.056,4.7156,1
67.2084,4.7284,1
67.3608,5.7288,1
67.5132,6.6844,1
67.6656,7.4664,1
67.818,7.7948,1
67.9704,8.6772,1
68.1228,7.7916,1
68.2752,8.0908,1
68.4276,9.0712,1
68.58,8.614,1
68.7324,9.7876,1
68.8848,9.9648,1
69.0372,8.484,1
69.1896,7.2208,1
69.342,5.9948,1
69.4944,5.8804,1
69.6468,7.6852,1
69.7992,8.2268,1
69.9516,9.4192,1
70.104,8.5128,1
70.2564,7.244,1
70.4088,7.7708,1
70.5612,8.926,1
70.7136,10.4392,1
70.866,10.3592,1
71.0184,10.14,1
71.1708,8.6856,1
71.3232,7.3664,1
71.4756,8.488,1
71.628,8.2684,1
71.7804,8.7976,1
71.9328,10.0552,1
72.0852,10.264,1
72.2376,10.928,1
72.39,10.2608,1
72.5424,10.4464,1
72.6948,10.652,1
72.8472,10.9536,1
72.9996,11.2284,1
73.152,9.9904,1
73.3044,8.6696,1
73.4568,6.918,1
73.6092,7.0408,1
73.7616,7.8792,1
73.914,7.5084,1
74.0664,8.1204,1
74.2188,6.9968,1
74.3712,6.0876,1
74.5236,5.3972,1
74.676,5.3168,1
74.8284,5.0648,1
74.9808,5.5016,1
75.1332,5.6424,1
75.2856,4.958,1
75.438,3.7896,1
75.5904,3.59,1
75.7428,3.71,1
75.8952,4.1676,1
76.0476,4.8864,1
76.2,5.8636,1
76.3524,7.2624,1
76.5048,8.86,1
76.6572,9.9676,1
76.8096,11.324,1
76.962,11.996,1
77.1144,11.0604,1
77.2668,9.776,1
77.4192,8.8216,1
77.5716,8.1356,1
77.724,9.5348,1
77.8764,13.5416,1
78.0288,3.9705,1
78.1812,5.3343,1
78.3336,6.0238,1
78.486,6.371,1
78.6384,6.3396,1
78.7908,6.756,1
78.9432,7.3014,1
79.0956,8.2598,1
79.248,8.9897,1
79.4004,8.5654,1
79.5528,7.9851,1
79.7052,7.3552,1
79.8576,6.9366,1
80.01,6.9386,1
80.1624,6.4076,1
80.3148,6.4969,1
80.4672,7.1435,1
80.6196,7.566,1
80.772,6.9847,1
80.9244,7.3135,1
81.0768,7.1555,1
81.2292,7.648,1
81.3816,7.9546,1
81.534,7.3157,1
81.6864,7.791,1
81.8388,8.0439,1
81.9912,7.7343,1
82.1436,7.1215,1
82.296,6.8275,1
82.4484,7.2169,1
82.6008,7.219,1
82.7532,7.9306,1
82.9056,7.9537,1
83.058,7.701,1
83.2104,7.9341,1
83.3628,7.8528,1
83.5152,7.9185,1
83.6676,8.9726,1
83.82,9.4077,1
83.9724,9.7133,1
84.1248,10.1497,1
84.2772,10.2692,1
84.4296,9.7808,1
84.582,8.6319,1
84.7344,7.9205,1
84.8868,7.6855,1
85.0392,8.1957,1
85.1916,7.6598,1
85.344,6.6359,1
85.4964,5.9309,1
85.6488,6.105,1
85.8012,6.8427,1
85.9536,6.915,1
86.106,6.9566,1
86.2584,6.7584,1
86.4108,7.2723,1
86.5632,7.2794,1
86.7156,7.2113,1
86.868,8.5458,1
87.0204,8.7693,1
87.1728,8.4621,1
87.3252,8.6368,1
87.4776,8.8679,1
87.63,10.139,1
87.7824,11.3127,1
87.9348,12.0525,1
88.0872,12.2876,1
88.2396,12.0435,1
88.392,11.8043,1
88.5444,11.2938,1
88.6968,10.9958,1
88.8492,10.9835,1
89.0016,10.4563,1
89.154,10.2723,1
89.3064,10.4592,1
89.4588,10.8707,1
89.6112,10.2173,1
89.7636,8.9788,1
89.916,8.6657,1
90.0684,8.528,1
90.2208,8.4439,1
90.3732,8.5971,1
90.5256,8.5687,1
90.678,8.1364,1
90.8304,7.9959,1
90.9828,7.5476,1
91.1352,7.1464,1
91.2876,6.8872,1
91.44,6.4677,1
91.5924,5.9168,1
91.7448,5.5126,1
91.8972,5.6312,1
92.0496,5.412,1
92.202,5.4149,1
92.3544,5.4798,1
92.5068,5.4695,1
92.6592,5.3121,1
92.8116,4.8942,1
92.964,4.4981,1
93.1164,4.7995,1
93.2688,4.8224,1
93.4212,5.1995,1
93.5736,4.7725,1
93.726,4.7943,1
93.8784,4.7369,1
94.0308,5.2216,1
94.1832,5.0764,1
94.3356,4.9167,1
94.488,5.1876,1
94.6404,5.6254,1
94.7928,6.0176,1
94.9452,7.4183,1
95.0976,7.632,1
95.25,7.2299,1
95.4024,6.9005,1
95.5548,6.3514,1
95.7072,5.9731,1
95.8596,7.0818,1
96.012,7.7822,1
96.1644,7.8341,1
96.3168,8.2777,1
96.4692,8.703,1
96.6216,9.3581,1
96.774,9.741,1
96.9264,11.1222,1
97.0788,11.4995,1
97.2312,11.8316,1
97.3836,12.2636,1
97.536,11.5707,1
97.6884,11.3711,1
97.8408,11.7419,1
97.9932,11.9893,1
98.1456,12.8428,1
98.298,13.0035,1
98.4504,12.9131,1
98.6028,12.3123,1
98.7552,12.6965,1
98.9076,13.4878,1
99.06,13.4129,1
99.2124,13.824,1
99.3648,12.3499,1
99.5172,12.46,1
99.6696,12.1365,1
99.822,12.2513,1
99.9744,11.7702,1
100.1268,12.0053,2
100.2792,11.5776,2
100.4316,10.7928,2
100.584,11.1781,2
100.7364,11.2563,2
100.8888,11.1523,2
101.0412,11.0208,2
101.1936,9.8988,2
101.346,8.8347,2
101.4984,8.0382,2
101.6508,7.3867,2
101.8032,7.3797,2
101.9556,8,2
102.108,8.9076,2
102.2604,7.418,2
102.4128,6.1654,2
102.5652,5.3764,2
102.7176,5.2995,2
102.87,4.813,2
103.0224,4.3342,2
103.1748,4.2247,2
103.3272,4.8819,2
103.4796,5.3188,2
103.632,5.2466,2
103.7844,5.564,2
103.9368,6.363,2
104.0892,6.3888,2
104.2416,6.6349,2
104.394,6.7468,2
104.5464,7.9473,2
104.6988,8.8233,2
104.8512,9.6209,2
105.0036,9.5814,2
105.156,10.048,2
105.3084,9.9282,2
105.4608,10.419,2
105.6132,10.233,2
105.7656,11.4192,2
105.918,11.045,2
106.0704,10.7001,2
106.2228,9.8717,2
106.3752,9.7518,2
106.5276,9.9267,2
106.68,10.4812,2
106.8324,10.103,2
106.9848,9.787,2
107.1372,9.3428,2
107.2896,8.9512,2
107.442,8.41,2
107.5944,8.4744,2
107.7468,8.1755,2
107.8992,8.0234,2
108.0516,8.3432,2
108.204,8.7384,2
108.3564,9.2875,2
108.5088,9.3054,2
108.6612,9.1596,2
108.8136,8.6739,2
108.966,9.2627,2
109.1184,9.6652,2
109.2708,11.1753,2
109.4232,13.8895,2
109.5756,15.4782,2
109.728,15.6307,2
109.8804,15.8996,2
110.0328,17.1321,2
110.1852,17.6217,2
110.3376,18.3872,2
110.49,18.9062,2
110.6424,17.6681,2
110.7948,17.0765,2
110.9472,16.1393,2
111.0996,16.3857,2
111.252,17.3636,2
111.4044,18.4062,2
111.5568,19.2649,2
111.7092,18.2393,2
111.8616,18.66,2
112.014,17.4353,2
112.1664,18.3643,2
112.3188,19.5987,2
112.4712,20.8467,2
112.6236,20.2808,2
112.776,18.9635,2
112.9284,19.4461,2
113.0808,19.7481,2
113.2332,18.7713,2
113.3856,18.5708,2
113.538,19.3078,2
113.6904,20.0805,2
113.8428,19.186,2
113.9952,18.985,2
114.1476,18.9901,2
114.3,18.0503,2
114.4524,18.2064,2
114.6048,17.5095,2
114.7572,16.8309,2
114.9096,16.0474,2
115.062,15.3819,2
115.2144,15.4517,2
115.3668,15.9557,2
115.5192,15.1895,2
115.6716,15.456,2
115.824,16.8649,2
115.9764,18.3604,2
116.1288,18.9177,2
116.2812,18.0732,2
116.4336,19.1434,2
116.586,19.9381,2
116.7384,20.6042,2
116.8908,18.4919,2
117.0432,17.6249,2
117.1956,18.2129,2
117.348,18.0836,2
117.5004,17.3367,2
117.6528,17.0116,2
117.8052,16.9688,2
117.9576,18.7481,2
118.11,19.7249,2
118.2624,20.2301,2
118.4148,19.9073,2
118.5672,20.5946,2
118.7196,21.3029,2
118.872,23.1416,2
119.0244,25.2421,2
119.1768,28.6214,2
119.3292,29.8653,2
119.4816,30.4461,2
119.634,28.3906,2
119.7864,28.0427,2
119.9388,28.4183,2
120.0912,28.6654,2
120.2436,28.2398,2
120.396,26.4693,2
120.5484,27.1521,2
120.7008,28.207,2
120.8532,27.5753,2
121.0056,25.4044,2
121.158,24.6576,2
121.3104,24.6169,2
121.4628,24.8005,2
121.6152,25.1939,2
121.7676,27.0255,2
121.92,26.9654,2
122.0724,25.0847,2
122.2248,23.2616,2
122.3772,22.5656,2
122.5296,23.1359,2
122.682,24.1252,2
122.8344,24.9645,2
122.9868,23.4248,2
123.1392,22.7023,2
123.2916,22.3395,2
123.444,22.1631,2
123.5964,22.7871,2
123.7488,23.5379,2
123.9012,22.6886,2
124.0536,21.0532,2
124.206,21.8272,2
124.3584,21.4211,2
124.5108,20.0062,2
124.6632,20.0502,2
124.8156,21.7429,2
124.968,22.7064,2
125.1204,22.3253,2
125.2728,21.5657,2
125.4252,19.907,2
125.5776,19.4291,2
125.73,19.6753,2
125.8824,18.2789,2
126.0348,18.2106,2
126.1872,18.3338,2
126.3396,19.0973,2
126.492,20.3266,2
126.6444,20.931,2
126.7968,22.0822,2
126.9492,21.8781,2
127.1016,22.9337,2
127.254,22.2125,2
127.4064,22.417,2
127.5588,23.3561,2
127.7112,23.93,2
127.8636,24.5313,2
128.016,26.7723,2
128.1684,28.2686,2
128.3208,28.071,2
128.4732,27.4866,2
128.6256,27.3405,2
128.778,25.4512,2
128.9304,24.2129,2
129.0828,22.5835,2
129.2352,21.3823,2
129.3876,20.2395,2
129.54,20.1449,2
129.6924,18.4671,2
129.8448,17.2348,2
129.9972,16.7329,2
130.1496,17.2203,2
130.302,17.7279,2
130.4544,17.6342,2
130.6068,17.5838,2
130.7592,18.9078,2
130.9116,18.5302,2
131.064,17.2759,2
131.2164,17.7671,2
131.3688,17.0408,2
131.5212,16.8602,2
131.6736,19.0551,2
131.826,21.1348,2
131.9784,20.9068,2
132.1308,19.9023,2
132.2832,17.6254,2
132.4356,15.2429,2
132.588,13.413,2
132.7404,13.0643,2
132.8928,13.5216,2
133.0452,17.6703,2
133.1976,20.2677,2
133.35,20.1961,2
133.5024,17.6849,2
133.6548,16.6254,2
133.8072,15.1562,2
133.9596,14.6924,2
134.112,14.2568,2
134.2644,14.7042,2
134.4168,16.5228,2
134.5692,17.8154,2
134.7216,16.864,2
134.874,16.7554,2
135.0264,15.2801,2
135.1788,14.0913,2
135.3312,12.9366,2
135.4836,13.9894,2
135.636,14.2174,2
135.7884,13.5983,2
135.9408,13.9585,2
136.0932,14.6041,2
136.2456,15.3446,2
136.398,15.8815,2
136.5504,15.0718,2
136.7028,14.0963,2
136.8552,13.9248,2
137.0076,13.8623,2
137.16,13.5608,2
137.3124,13.5705,2
137.4648,13.9093,2
137.6172,13.4785,2
137.7696,13.6695,2
137.922,13.9497,2
138.0744,14.852,2
138.2268,16.3716,2
138.3792,16.3891,2
138.5316,14.538,2
138.684,12.9165,2
138.8364,12.4961,2
138.9888,13.7752,2
139.1412,15.6316,2
139.2936,16.1295,2
139.446,15.1757,2
139.5984,14.4985,2
139.7508,15.0365,2
139.9032,17.3252,2
140.0556,19.7112,2
140.208,20.6689,2
140.3604,21.2613,2
140.5128,22.3874,2
140.6652,22.735,2
140.8176,21.9318,2
140.97,20.4049,2
141.1224,19.2832,2
141.2748,19.2929,2
141.4272,19.7574,2
141.5796,19.2667,2
141.732,19.0772,2
141.8844,19.2354,2
142.0368,19.2148,2
142.1892,18.6569,2
142.3416,18.2097,2
142.494,17.8935,2
142.6464,17.4653,2
142.7988,16.3106,2
142.9512,14.7726,2
143.1036,12.9886,2
143.256,11.5832,2
143.4084,11.6772,2
143.5608,12.4901,2
143.7132,12.9411,2
143.8656,12.5816,2
144.018,12.8256,2
144.1704,12.9108,2
144.3228,12.6817,2
144.4752,12.2834,2
144.6276,11.7192,2
144.78,12.2236,2
144.9324,12.7525,2
145.0848,11.9161,2
145.2372,10.7538,2
145.3896,9.8049,2
145.542,9.8298,2
145.6944,9.2884,2
145.8468,9.3342,2
145.9992,10.8615,2
146.1516,10.6447,2
146.304,11.0046,2
146.4564,10.3564,2
146.6088,11.1291,2
146.7612,11.896,2
146.9136,12.3455,2
147.066,12.0694,2
147.2184,12.1411,2
147.3708,12.8472,2
147.5232,14.0688,2
147.6756,14.3285,2
147.828,16.157,2
147.9804,16.4355,2
148.1328,16.8688,2
148.2852,15.7874,2
148.4376,15.6106,2
148.59,15.5787,2
148.7424,16.426,2
148.8948,16.6574,2
149.0472,16.7089,2
149.1996,16.5934,2
149.352,17.1847,2
149.5044,17.905,2
149.6568,18.2554,2
149.8092,17.7031,2
149.9616,16.5644,2
150.114,14.2579,2
150.2664,14.6315,2
150.4188,15.4612,2
150.5712,15.67,2
150.7236,15.2382,2
150.876,15.3415,2
151.0284,15.6426,2
151.1808,15.8008,2
151.3332,15.8977,2
151.4856,15.3775,2
151.638,15.8994,2
151.7904,17.4565,2
151.9428,17.5699,2
152.0952,15.8868,2
152.2476,14.3333,2
152.4,14.8489,2
152.5524,15.8996,2
152.7048,15.702,2
152.8572,14.4683,2
153.0096,14.7145,2
153.162,15.0808,2
153.3144,15.3265,2
153.4668,15.9372,2
153.6192,15.7269,2
153.7716,15.6728,2
153.924,16.398,2
154.0764,16.3136,2
154.2288,16.0993,2
154.3812,16.3558,2
154.5336,17.507,2
154.686,17.1946,2
154.8384,16.7443,2
154.9908,16.6198,2
155.1432,16.7663,2
155.2956,17.4046,2
155.448,17.1301,2
155.6004,16.2747,2
155.7528,16.479,2
155.9052,16.8865,2
156.0576,16.397,2
156.21,15.6775,2
156.3624,15.6494,2
156.5148,15.2465,2
156.6672,13.7868,2
156.8196,12.4146,2
156.972,12.4965,2
157.1244,13.1265,2
157.2768,14.0957,2
157.4292,15.8813,2
157.5816,17.9821,2
157.734,20.2088,2
157.8864,22.0191,2
158.0388,23.3644,2
158.1912,24.9951,2
158.3436,26.3221,2
158.496,26.9383,2
158.6484,26.841,2
158.8008,27.388,2
158.9532,27.986,2
159.1056,27.6238,2
159.258,27.3639,2
159.4104,27.1176,2
159.5628,26.0884,2
159.7152,24.322,2
159.8676,22.2407,2
160.02,21.3436,3
160.1724,21.7077,3
160.3248,22.5018,3
160.4772,22.1478,3
160.6296,20.7871,3
160.782,19.7228,3
160.9344,19.4221,3
161.0868,20.7376,3
161.2392,22.2545,3
161.3916,22.9122,3
161.544,22.7679,3
161.6964,21.8097,3
161.8488,21.3947,3
162.0012,22.2776,3
162.1536,22.7404,3
162.306,22.2383,3
162.4584,22.048,3
162.6108,23.0488,3
162.7632,23.3675,3
162.9156,23.3991,3
163.068,22.4344,3
163.2204,21.5281,3
163.3728,21.4949,3
163.5252,20.7216,3
163.6776,19.0288,3
163.83,18.2205,3
163.9824,19.5065,3
164.1348,21.4323,3
164.2872,22.1388,3
164.4396,23.1109,3
164.592,23.476,3
164.7444,23.7791,3
164.8968,24.7869,3
165.0492,26.1564,3
165.2016,27.3194,3
165.354,27.759,3
165.5064,26.3014,3
165.6588,24.1068,3
165.8112,23.0358,3
165.9636,22.3237,3
166.116,21.0063,3
166.2684,19.628,3
166.4208,19.7452,3
166.5732,18.6669,3
166.7256,17.5019,3
166.878,16.58,3
167.0304,15.5172,3
167.1828,15.4689,3
167.3352,17.1666,3
167.4876,18.3575,3
167.64,17.7075,3
167.7924,17.2161,3
167.9448,18.0433,3
168.0972,19.2254,3
168.2496,20.6448,3
168.402,20.4423,3
168.5544,20.9591,3
168.7068,20.6555,3
168.8592,21.6357,3
169.0116,21.8047,3
169.164,22.597,3
169.3164,23.6608,3
169.4688,25.8391,3
169.6212,27.8744,3
169.7736,29.7592,3
169.926,30.2553,3
170.0784,30.3572,3
170.2308,30.1079,3
170.3832,28.4485,3
170.5356,27.6223,3
170.688,26.7956,3
170.8404,25.2154,3
170.9928,24.2825,3
171.1452,23.1017,3
171.2976,22.6536,3
171.45,23.9719,3
171.6024,25.3315,3
171.7548,25.6843,3
171.9072,25.8461,3
172.0596,26.1384,3
172.212,26.1501,3
172.3644,25.5139,3
172.5168,27.3217,3
172.6692,27.8612,3
172.8216,30.3959,3
172.974,31.6499,3
173.1264,30.8499,3
173.2788,29.3884,3
173.4312,29.2732,3
173.5836,27.7596,3
173.736,23.7339,3
173.8884,22.0073,3
174.0408,22.2771,3
174.1932,21.9251,3
174.3456,22.7312,3
174.498,24.164,3
174.6504,26.36,3
174.8028,27.8499,3
174.9552,28.8489,3
175.1076,31.5066,3
175.26,31.7257,3
175.4124,32.8461,3
175.5648,30.6131,3
175.7172,29.2017,3
175.8696,27.911,3
176.022,24.7173,3
176.1744,21.9389,3
176.3268,18.9887,3
176.4792,17.3604,3
176.6316,16.8298,3
176.784,14.3104,3
176.9364,11.9014,3
177.0888,10.1577,3
177.2412,10.278,3
177.3936,9.597,3
177.546,8.7944,3
177.6984,9.7891,3
177.8508,10.1318,3
178.0032,10.5295,3
178.1556,11.0915,3
178.308,10.9326,3
178.4604,11.6413,3
178.6128,13.0726,3
178.7652,13.5042,3
178.9176,13.6913,3
179.07,14.0641,3
179.2224,14.5033,3
179.3748,14.6382,3
179.5272,14.8706,3
179.6796,15.6546,3
179.832,15.7273,3
179.9844,16.4122,3
180.1368,16.5326,3
180.2892,16.6105,3
180.4416,17.7718,3
180.594,18.3655,3
180.7464,17.584,3
180.8988,16.779,3
181.0512,16.9589,3
181.2036,17.5923,3
181.356,18.5361,3
181.5084,18.6691,3
181.6608,17.8135,3
181.8132,17.173,3
181.9656,16.6793,3
182.118,14.8304,3
