metres,GR,helper
120.5484,10.0447,1
120.7008,9.126,1
120.8532,8.1894,1
121.0056,8.0014,1
121.158,7.9902,1
121.3104,8.024,1
121.4628,8.0673,1
121.6152,8.1771,1
121.7676,8.1446,1
121.92,8.1121,1
122.0724,8.0796,1
122.2248,8.1477,1
122.3772,8.0572,1
122.5296,8.1963,1
122.682,6.8731,1
122.8344,6.2711,1
122.9868,6.4698,1
123.1392,6.9094,1
123.2916,7.3997,1
123.444,7.7869,1
123.5964,8.259,1
123.7488,8.975,1
123.9012,9.2542,1
124.0536,8.914,1
124.206,7.9672,1
124.3584,7.9019,1
124.5108,7.43,1
124.6632,9.264,1
124.8156,9.4016,1
124.968,8.427,1
125.1204,6.6976,1
125.2728,6.1636,1
125.4252,6.7879,1
125.5776,7.1057,1
125.73,6.3135,1
125.8824,6.6073,1
126.0348,7.23,1
126.1872,6.5959,1
126.3396,5.7701,1
126.492,5.5838,1
126.6444,6.6953,1
126.7968,7.7258,1
126.9492,8.0428,1
127.1016,8.1162,1
127.254,8.1154,1
127.4064,7.9099,1
127.5588,7.9173,1
127.7112,8.6963,1
127.8636,7.7118,1
128.016,7.3376,1
128.1684,7.2559,1
128.3208,6.9972,1
128.4732,7.4403,1
128.6256,8.7997,1
128.778,8.7702,1
128.9304,7.8324,1
129.0828,7.9473,1
129.2352,8.812,1
129.3876,8.8013,1
129.54,8.176,1
129.6924,8.5492,1
129.8448,9.4278,1
129.9972,10.1824,1
130.1496,10.0509,1
130.302,9.0279,1
130.4544,8.2419,1
130.6068,8.4179,1
130.7592,9.639,1
130.9116,10.1009,1
131.064,9.8994,1
131.2164,8.6513,1
131.3688,8.4438,1
131.5212,8.6802,1
131.6736,9.1069,1
131.826,9.5187,1
131.9784,9.9047,1
132.1308,10.6716,1
132.2832,12.2119,1
132.4356,12.7778,1
132.588,11.4726,1
132.7404,10.6147,1
132.8928,10.1071,1
133.0452,10.0315,1
133.1976,10.2916,1
133.35,11.1434,1
133.5024,11.8693,1
133.6548,12.2482,1
133.8072,12.3984,1
133.9596,12.2948,1
134.112,11.6357,1
134.2644,12.1058,1
134.4168,11.6803,1
134.5692,10.9035,1
134.7216,10.745,1
134.874,10.8829,1
135.0264,11.2233,1
135.1788,11.5144,1
135.3312,12.7794,1
135.4836,13.0577,1
135.636,13.3009,1
135.7884,13.2418,1
135.9408,13.1948,1
136.0932,13.99,1
136.2456,13.8086,1
136.398,11.9484,1
136.5504,11.1479,1
136.7028,11.0993,1
136.8552,10.4776,1
137.0076,9.4969,1
137.16,9.0325,1
137.3124,9.7159,1
137.4648,9.7617,1
137.6172,10.6921,1
137.7696,11.743,1
137.922,11.6561,1
138.0744,11.5388,1
138.2268,12.4672,1
138.3792,12.6872,1
138.5316,11.7453,1
138.684,10.676,1
138.8364,9.7636,1
138.9888,8.5227,1
139.1412,8.1324,1
139.2936,8.0355,1
139.446,7.3573,1
139.5984,7.5159,1
139.7508,7.8511,1
139.9032,8.0142,1
140.0556,8.0033,1
140.208,8.3901,1
140.3604,8.2914,1
140.5128,8.4262,1
140.6652,8.1983,1
140.8176,9.5191,1
140.97,11.0933,1
141.1224,11.1302,1
141.2748,11.0392,1
141.4272,10.713,1
141.5796,10.0311,1
141.732,10.3736,1
141.8844,10.7794,1
142.0368,11.351,1
142.1892,10.8124,1
142.3416,9.8935,1
142.494,9.6413,1
142.6464,10.0209,1
142.7988,8.9619,1
142.9512,8.2792,1
143.1036,7.8481,1
143.256,7.5804,1
143.4084,7.3258,1
143.5608,8.3563,1
143.7132,8.498,1
143.8656,8.3933,1
144.018,8.7298,1
144.1704,8.4324,1
144.3228,8.7444,1
144.4752,9.1691,1
144.6276,8.794,1
144.78,8.5758,1
144.9324,8.2306,1
145.0848,7.601,1
145.2372,7.5375,1
145.3896,8.3767,1
145.542,9.6405,1
145.6944,9.3902,1
145.8468,8.6517,1
145.9992,8.9159,1
146.1516,9.6835,1
146.304,8.728,1
146.4564,8.5995,1
146.6088,9.271,1
146.7612,10.6162,1
146.9136,11.2714,1
147.066,11.7982,1
147.2184,12.9684,1
147.3708,13.7314,1
147.5232,14.1072,1
147.6756,14.2848,1
147.828,14.4043,1
147.9804,14.4094,1
148.1328,15.8307,1
148.2852,16.2474,1
148.4376,15.6729,1
148.59,14.051,1
148.7424,13.3308,1
148.8948,10.8761,1
149.0472,10.2038,1
149.1996,9.9967,1
149.352,10.651,1
149.5044,10.7358,1
149.6568,10.7105,1
149.8092,11.5463,1
149.9616,13.0366,1
150.114,14.0964,1
150.2664,14.4519,1
150.4188,14.0824,1
150.5712,12.8562,1
150.7236,11.9362,1
150.876,11.3765,1
151.0284,11.1717,1
151.1808,11.5867,1
151.3332,11.6675,1
151.4856,11.1168,1
151.638,10.6591,1
151.7904,11.3728,1
151.9428,11.8154,1
152.0952,11.2581,1
152.2476,11.1776,1
152.4,11.976,1
152.5524,11.2494,1
152.7048,10.2321,1
152.8572,10.2556,1
153.0096,10.7813,1
153.162,11.3483,1
153.3144,11.4515,1
153.4668,11.203,1
153.6192,11.5855,1
153.7716,11.5332,1
153.924,10.691,1
154.0764,10.8063,1
154.2288,11.7287,1
154.3812,12.2569,1
154.5336,12.2434,1
154.686,11.9014,1
154.8384,11.7637,1
154.9908,12.6472,1
155.1432,12.9022,1
155.2956,12.5918,1
155.448,11.5364,1
155.6004,11.573,1
155.7528,11.5822,1
155.9052,12.3765,1
156.0576,12.5251,1
156.21,11.6555,1
156.3624,10.6784,1
156.5148,9.9934,1
156.6672,10.2992,1
156.8196,11.3795,1
156.972,12.7365,1
157.1244,13.2441,1
157.2768,13.2164,1
157.4292,12.8964,1
157.5816,12.5902,1
157.734,11.0466,1
157.8864,9.6595,1
158.0388,10.2422,1
158.1912,11.0748,1
158.3436,11.8351,1
158.496,12.1873,1
158.6484,11.7069,1
158.8008,10.7767,1
158.9532,10.6829,1
159.1056,11.6425,1
159.258,12.1875,1
159.4104,12.191,1
159.5628,11.7627,1
159.7152,11.2631,1
159.8676,10.9411,1
160.02,9.8848,1
160.1724,9.5367,1
160.3248,10.1269,1
160.4772,10.2432,1
160.6296,9.9619,1
160.782,8.9722,1
160.9344,8.1142,1
161.0868,10.6148,1
