Measured Depth,Gamma-Ray log,helper
191.262,7.808887,1
191.4144,6.889732,1
191.5668,7.054352,1
191.7192,6.897984,1
191.8716,6.830521,1
192.024,6.621811,1
192.1764,6.356377,1
192.3288,5.614319,1
192.4812,5.862057,1
192.6336,7.694641,1
192.786,8.249657,1
192.9384,6.996815,1
193.0908,6.752316,1
193.2432,6.889244,1
193.3956,6.748756,1
193.548,6.585617,1
193.7004,6.712547,1
193.8528,6.72221,1
194.0052,6.072643,1
194.1576,5.597939,1
194.31,5.457783,1
194.4624,4.907158,1
194.6148,4.914543,1
194.7672,5.133183,1
194.9196,5.394089,1
195.072,5.756428,1
195.2244,6.230885,1
195.3768,6.307735,1
195.5292,6.225231,1
195.6816,6.026905,1
195.834,6.456219,1
195.9864,6.674206,1
196.1388,7.011959,1
196.2912,7.416458,1
196.4436,7.496067,1
196.596,7.877163,1
196.7484,8.099792,1
196.9008,8.454666,1
197.0532,8.288177,1
197.2056,7.748508,1
197.358,6.948833,1
197.5104,5.965466,1
197.6628,5.810513,1
197.8152,5.659103,1
197.9676,6.664215,1
198.12,7.608894,1
198.2724,7.289761,1
198.4248,7.657005,1
198.5772,7.451828,1
198.7296,7.377106,1
198.882,7.205315,1
199.0344,6.747936,1
199.1868,6.19622,1
199.3392,5.442322,1
199.4916,5.12804,1
199.644,6.447098,1
199.7964,7.009842,1
199.9488,7.426922,1
200.1012,6.979179,1
200.2536,6.077435,1
200.406,5.928493,1
200.5584,6.375732,1
200.7108,6.110607,1
200.8632,5.31496,1
201.0156,5.723415,1
201.168,6.293915,1
201.3204,7.119747,1
201.4728,8.589638,1
201.6252,9.529243,1
201.7776,9.620338,1
201.93,9.568642,1
202.0824,11.53799,1
202.2348,12.63622,1
202.3872,11.14491,1
202.5396,11.23264,1
202.692,11.46829,1
202.8444,11.06837,1
202.9968,10.5755,1
203.1492,10.29362,1
203.3016,10.61906,1
203.454,9.795837,1
203.6064,9.0821,1
203.7588,9.871254,1
203.9112,10.22517,1
204.0636,8.668953,1
204.216,8.302734,1
204.3684,8.506393,1
204.5208,10.4583,1
204.6732,11.43638,1
204.8256,11.68786,1
204.978,11.84182,1
205.1304,12.35577,1
205.2828,12.53689,1
205.4352,12.68784,1
205.5876,12.86512,1
205.74,12.52493,1
205.8924,12.09805,1
206.0448,11.34744,1
206.1972,9.409264,1
206.3496,9.012444,1
206.502,8.779907,1
206.6544,7.480022,1
206.8068,7.146805,1
206.9592,8.449173,1
207.1116,9.016266,1
207.264,9.368858,1
207.4164,9.389015,1
207.5688,9.473854,1
207.7212,9.871277,1
207.8736,10.3548,1
208.026,12.19011,1
208.1784,14.11441,1
208.3308,13.66303,1
208.4832,12.60647,1
208.6356,12.91331,1
208.788,11.82167,1
208.9404,10.21732,1
209.0928,9.008896,1
209.2452,10.06763,1
209.3976,9.957726,1
209.55,10.41921,1
209.7024,11.15517,1
209.8548,12.12312,1
210.0072,12.69834,1
210.1596,13.04626,1
210.312,13.09328,1
210.4644,13.86884,1
210.6168,14.12896,1
210.7692,13.17781,1
210.9216,11.45862,1
211.074,10.47698,1
211.2264,9.916885,1
211.3788,9.946022,1
211.5312,10.77331,1
211.6836,11.38467,1
211.836,11.6276,1
211.9884,10.63402,1
212.1408,9.319298,1
212.2932,9.046227,1
212.4456,8.508034,1
212.598,7.255375,1
212.7504,8.64473,1
212.9028,11.37357,1
213.0552,12.8867,1
213.2076,13.00281,1
213.36,11.96609,1
213.5124,10.92839,1
213.6648,9.919472,1
213.8172,8.664757,1
213.9696,7.798996,1
214.122,8.829666,1
214.2744,9.1623,1
214.4268,8.934479,1
214.5792,9.057648,1
214.7316,10.54348,1
214.884,11.57252,1
215.0364,11.71383,1
215.1888,11.67904,1
215.3412,11.87697,1
215.4936,12.28422,1
215.646,12.67529,1
215.7984,13.15263,1
215.9508,13.53427,1
216.1032,13.3791,1
216.2556,13.35515,1
216.408,13.27823,1
216.5604,13.2654,1
216.7128,13.29418,1
216.8652,13.25631,1
217.0176,12.8196,1
217.17,12.31095,1
217.3224,11.39647,1
217.4748,11.07507,1
217.6272,11.21036,1
217.7796,10.44263,1
217.932,8.935417,1
218.0844,8.493416,1
218.2368,10.27545,1
218.3892,11.45537,1
218.5416,12.65105,1
218.694,14.33688,1
218.8464,14.93185,1
218.9988,14.01004,1
219.1512,12.59496,1
219.3036,12.26245,1
219.456,12.41809,1
219.6084,12.67394,1
219.7608,12.87681,1
219.9132,12.59914,1
220.0656,12.7657,1
220.218,14.80811,1
220.3704,15.0574,1
220.5228,14.15445,1
220.6752,12.64205,1
220.8276,12.03458,1
220.98,12.09132,1
221.1324,11.84637,1
221.2848,12.18614,1
221.4372,12.53012,1
221.5896,11.90086,1
221.742,11.13085,1
221.8944,10.40966,1
222.0468,9.709572,1
222.1992,9.678726,1
222.3516,10.53399,1
222.504,10.71862,1
222.6564,11.75034,1
222.8088,12.91067,1
222.9612,13.41968,1
223.1136,13.11397,1
223.266,13.09447,1
223.4184,11.4916,1
223.5708,11.23984,1
223.7232,12.22879,1
223.8756,12.41941,1
224.028,11.54259,1
224.1804,10.96241,1
224.3328,11.27624,1
224.4852,10.80437,1
224.6376,11.0922,1
224.79,11.75596,1
224.9424,11.97717,1
225.0948,11.46676,1
225.2472,9.055389,1
225.3996,8.558762,1
225.552,9.313873,1
225.7044,11.17574,1
225.8568,11.68875,1
226.0092,11.59542,1
226.1616,12.52883,1
226.314,14.00139,1
226.4664,14.07448,1
226.6188,13.01406,1
226.7712,13.03936,1
226.9236,13.04475,1
227.076,12.46382,1
227.2284,11.4248,1
227.3808,11.28265,1
227.5332,11.56007,1
227.6856,11.85863,1
227.838,13.4025,1
227.9904,14.10091,1
228.1428,11.94058,1
228.2952,12.28975,1
228.4476,12.08913,1
228.6,11.44676,1
228.7524,9.969704,1
228.9048,9.669037,1
229.0572,10.4262,1
229.2096,11.10195,1
229.362,11.40874,1
229.5144,11.45515,1
229.6668,11.94016,1
229.8192,12.65439,1
229.9716,13.15399,1
230.124,13.29609,1
230.2764,13.43375,1
230.4288,13.04618,1
230.5812,13.41924,1
230.7336,13.43877,1
230.886,12.78197,1
231.0384,13.48208,1
231.1908,13.61432,1
231.3432,13.12069,1
231.4956,12.72884,1
231.648,12.43404,1
231.8004,12.37403,1
231.9528,12.45591,1
232.1052,11.913,1
232.2576,10.73969,1
232.41,10.53959,1
232.5624,10.99203,1
232.7148,11.3228,1
232.8672,10.93605,1
233.0196,10.5809,1
233.172,11.23009,1
233.3244,12.83121,1
233.4768,14.52473,1
233.6292,16.28798,1
233.7816,18.10687,1
233.934,20.58206,1
234.0864,18.82974,1
234.2388,16.98233,1
234.3912,15.12315,1
234.5436,14.14397,1
234.696,13.58242,1
234.8484,12.44778,1
235.0008,11.18743,1
235.1532,10.26112,1
235.3056,10.18092,1
235.458,10.57205,1
235.6104,11.02142,1
235.7628,11.83183,1
235.9152,11.36949,1
236.0676,10.29382,1
236.22,9.215408,1
236.3724,10.30103,1
236.5248,10.79813,1
236.6772,12.05476,1
236.8296,13.40035,1
236.982,12.77349,1
237.1344,11.116,1
237.2868,9.478333,1
237.4392,8.164482,1
237.5916,7.941757,1
237.744,7.720924,1
237.8964,8.360336,1
238.0488,11.20077,1
238.2012,10.72359,1
238.3536,10.62061,1
238.506,10.96128,1
238.6584,10.8299,1
238.8108,11.60468,1
238.9632,11.30939,1
239.1156,9.671417,1
239.268,9.951431,1
239.4204,9.574226,1
239.5728,9.707794,1
239.7252,10.49463,1
239.8776,11.5584,1
240.03,12.47154,1
240.1824,12.41758,1
240.3348,11.73182,1
240.4872,11.07823,1
240.6396,11.23972,1
240.792,10.80952,1
240.9444,9.980064,1
241.0968,9.771828,1
241.2492,10.31279,1
241.4016,11.04285,1
241.554,12.58354,1
241.7064,12.08696,1
241.8588,11.11753,1
242.0112,11.01913,1
242.1636,12.36726,1
242.316,14.02489,1
242.4684,14.93802,1
242.6208,15.46725,1
242.7732,15.31548,1
242.9256,14.84588,1
243.078,14.0227,1
243.2304,13.76923,1
243.3828,13.77451,1
243.5352,13.82571,1
243.6876,13.79924,1
243.84,13.63051,1
243.9924,13.29789,1
244.1448,12.4628,1
244.2972,11.96867,1
244.4496,13.28303,1
244.602,14.59016,1
244.7544,15.1897,1
244.9068,14.74078,1
245.0592,13.71469,1
245.2116,13.58539,1
245.364,13.68302,1
245.5164,13.79364,1
245.6688,14.20471,1
245.8212,14.64868,1
245.9736,14.23494,1
246.126,13.8215,1
246.2784,12.75288,1
246.4308,11.26921,1
246.5832,10.29186,1
246.7356,9.897469,1
246.888,10.52518,1
247.0404,12.38817,1
247.1928,13.73411,1
247.3452,13.47672,1
247.4976,12.13654,1
247.65,10.83197,1
247.8024,9.834541,1
247.9548,10.46471,1
248.1072,11.83691,1
248.2596,13.10315,1
248.412,12.66223,1
248.5644,11.93596,1
248.7168,12.07668,1
248.8692,12.661,1
249.0216,13.25021,1
249.174,13.05704,1
249.3264,13.0878,1
249.4788,14.64385,1
249.6312,17.46681,1
249.7836,19.30699,1
249.936,21.02251,1
250.0884,23.41399,1
250.2408,23.2121,1
250.3932,21.53257,1
250.5456,20.06903,1
250.698,19.10152,1
250.8504,18.40226,1
251.0028,17.66602,1
251.1552,15.87477,1
251.3076,15.24816,1
251.46,15.11032,1
251.6124,14.91952,1
251.7648,14.13927,1
251.9172,12.83284,1
252.0696,12.50684,1
252.222,13.52799,1
252.3744,13.9794,1
252.5268,14.17117,1
252.6792,13.23067,1
252.8316,12.05195,1
252.984,11.03342,1
253.1364,11.22605,1
253.2888,11.12349,1
253.4412,11.01668,1
253.5936,12.23785,1
253.746,12.86538,1
253.8984,13.3331,1
254.0508,13.2501,1
254.2032,12.625,1
254.3556,13.89162,1
254.508,13.44476,1
254.6604,12.54153,1
254.8128,11.38514,1
254.9652,11.78274,1
255.1176,13.306,1
255.27,13.05112,1
255.4224,12.33685,1
255.5748,12.59001,1
255.7272,12.6027,1
255.8796,13.19925,1
256.032,13.62178,1
256.1844,13.81799,1
256.3368,13.9873,1
256.4892,14.02851,1
256.6416,13.70041,1
256.7939,12.64508,1
256.9464,12.36544,1
257.0988,12.50978,1
257.2512,12.65906,1
257.4036,12.86131,1
257.556,12.58527,1
257.7084,12.47476,1
257.8608,12.31541,1
258.0132,12.01587,1
258.1656,11.8102,1
258.318,11.8103,1
258.4704,13.10951,1
258.6228,15.50862,1
258.7751,15.86317,1
258.9276,15.90316,1
259.08,16.62058,1
259.2324,16.35257,1
259.3848,16.17416,1
259.5372,16.08718,1
259.6896,15.70093,1
259.842,14.88715,1
259.9944,14.6692,1
260.1468,14.73046,1
260.2992,14.31664,1
260.4516,13.77624,1
260.6039,12.86678,1
260.7563,12.00376,1
260.9088,11.49458,1
261.0612,11.17067,1
261.2136,11.05021,1
261.366,10.99946,1
261.5184,10.91464,1
261.6708,10.7697,1
261.8232,10.81196,1
261.9756,10.92008,1
262.128,11.21607,1
262.2804,11.39088,1
262.4328,10.8293,1
262.5851,9.984705,1
262.7375,9.529249,1
262.89,9.809769,1
263.0424,10.60994,1
263.1948,11.13599,1
263.3472,11.56882,1
263.4996,11.90294,1
263.652,12.17305,1
263.8044,12.66443,1
263.9568,13.19579,1
264.1092,13.49241,1
264.2616,13.26848,1
264.414,12.26215,1
264.5663,11.42846,1
264.7188,11.0392,1
264.8712,11.05472,1
265.0236,11.88921,1
265.176,12.553,1
265.3284,13.08384,1
265.4808,13.26546,1
265.6332,12.91386,1
265.7856,12.45117,1
265.938,11.94181,1
266.0904,11.80583,1
266.2428,11.79401,1
266.3952,11.46988,1
266.5475,11.15407,1
266.7,10.70429,1
266.8524,10.60829,1
267.0048,10.55284,1
267.1572,12.05768,1
267.3096,13.00776,1
267.462,13.42343,1
267.6144,14.06419,1
267.7668,14.14532,1
267.9192,13.94442,1
268.0716,13.7359,1
268.224,13.93823,1
268.3763,14.26192,1
268.5287,14.5081,1
268.6812,14.87165,1
268.8336,15.35994,1
268.986,16.63788,1
269.1384,18.73723,1
269.2908,20.03201,1
269.4432,20.85624,1
269.5956,21.35879,1
269.748,21.75601,1
269.9004,20.89956,1
270.0528,19.33584,1
270.2052,16.08457,1
270.3575,14.90222,1
270.5099,13.65415,1
270.6624,13.27975,1
270.8148,13.80511,1
270.9672,14.01001,1
271.1196,14.00203,1
271.272,13.88807,1
271.4244,13.77614,1
271.5768,13.46828,1
271.7292,13.11679,1
271.8816,13.04156,1
272.034,13.16843,1
272.1864,13.37306,1
272.3387,13.51247,1
272.4911,13.72352,1
272.6436,14.18221,1
272.796,14.6169,1
272.9484,14.718,1
273.1008,14.92352,1
273.2532,14.94879,1
273.4056,14.26931,1
273.558,13.02273,1
273.7104,12.96742,1
273.8628,12.51464,1
274.0152,12.27781,1
274.1676,12.21913,1
274.3199,12.21607,1
274.4724,12.19663,1
274.6248,12.29751,1
274.7772,12.03779,1
274.9296,11.90058,1
275.082,12.20878,1
275.2344,12.59756,1
275.3868,12.53485,1
275.5392,12.48305,1
275.6916,12.34735,1
275.844,12.34271,1
275.9964,12.1484,1
276.1487,11.26826,1
276.3011,8.814051,1
276.4536,7.037302,1
276.606,5.125839,1
276.7584,3.107188,1
276.9108,1.505286,1
277.0632,1.397,1
277.2156,1.323,1
277.368,1.28,1
277.5204,1.11,1
277.6728,1.027,1
277.8252,1.366,1
277.9776,1.387605,1
278.1299,2.364124,1
278.2823,5.275139,1
278.4348,7.91099,1
278.5872,13.15931,1
278.7396,15.14542,1
278.892,15.02894,1
279.0444,15.42822,1
279.1968,16.04617,1
279.3492,17.01038,1
279.5016,18.37938,1
279.654,19.9521,1
279.8064,20.59258,1
279.9588,21.1805,1
280.1111,21.40897,1
280.2635,21.11254,1
280.416,20.22435,1
280.5684,19.86548,1
280.7208,19.3003,1
280.8732,17.34913,1
281.0256,14.88706,1
281.178,13.48552,1
281.3304,13.07737,1
281.4828,13.02054,1
281.6352,13.28373,1
281.7876,13.85293,1
281.94,14.29003,1
282.0923,13.91397,1
282.2448,13.25686,1
282.3972,13.2997,1
282.5496,13.35669,1
282.702,13.52206,1
282.8544,13.87413,1
283.0068,14.27921,1
283.1592,14.72333,1
283.3116,15.24408,1
283.464,15.5898,1
283.6164,15.69963,1
283.7688,15.80545,1
283.9211,15.66482,1
284.0735,15.27311,1
284.226,15.05509,1
284.3784,14.90009,1
284.5308,14.59031,1
284.6832,14.20539,1
284.8356,13.76131,1
284.988,13.05546,1
285.1404,13.77455,1
285.2928,14.57939,1
285.4452,15.03847,1
285.5976,15.8672,1
285.75,17.08109,1
285.9023,19.52328,1
286.0547,20.80473,1
286.2072,22.47581,1
286.3596,23.23939,1
286.512,23.37578,1
286.6644,23.16714,1
286.8168,22.57065,1
286.9692,20.09069,1
287.1216,17.89742,1
287.274,15.84971,1
287.4264,14.67929,1
287.5788,14.52575,1
287.7312,14.70861,1
287.8835,14.84828,1
288.0359,14.99027,1
288.1884,14.90218,1
288.3408,14.09485,1
288.4932,13.57151,1
288.6456,13.46801,1
288.798,13.82549,1
288.9504,13.68087,1
289.1028,14.0166,1
289.2552,15.34606,1
289.4076,16.12107,1
289.56,15.97484,1
289.7124,15.35492,1
289.8647,15.23612,1
290.0172,15.78197,1
290.1696,16.46367,1
290.322,17.18838,1
290.4744,18.40802,1
290.6268,19.73421,1
290.7792,20.62135,1
290.9316,21.45906,1
291.084,23.06267,1
291.2364,23.90746,1
291.3888,23.25488,1
291.5412,22.28197,1
291.6935,20.75533,1
291.8459,19.52916,1
291.9984,19.42462,1
292.1508,19.80827,1
292.3032,19.93819,1
292.4556,20.85643,1
292.608,21.1625,1
292.7604,20.03856,1
292.9128,18.57198,1
293.0652,17.16699,1
293.2176,15.19254,1
293.37,14.43524,1
293.5224,13.58902,1
293.6747,12.9642,1
293.8271,13.03205,1
293.9796,12.9764,1
294.132,13.99806,1
294.2844,13.45971,1
294.4368,12.92745,1
294.5892,13.05515,1
294.7416,13.95112,1
294.894,14.38805,1
295.0464,13.70114,1
295.1988,13.25039,1
295.3512,13.08998,1
295.5036,13.03113,1
295.6559,12.54034,1
295.8083,12.07961,1
295.9608,11.92306,1
296.1132,12.36692,1
296.2656,13.8689,1
296.418,14.62781,1
296.5704,14.9414,1
296.7228,14.74257,1
296.8752,14.13017,1
297.0276,13.58708,1
297.18,13.23249,1
297.3324,13.07826,1
297.4848,13.39423,1
297.6371,13.83543,1
297.7896,15.01547,1
297.942,16.39149,1
298.0944,17.43611,1
298.2468,18.0741,1
298.3992,18.58896,1
298.5516,19.17207,1
298.704,19.36077,1
298.8564,18.27035,1
299.0088,16.71562,1
299.1612,15.53865,1
299.3136,15.19908,1
299.4659,14.61316,1
299.6183,14.23954,1
299.7708,13.40071,1
299.9232,12.62044,1
300.0756,12.94287,1
300.228,13.67803,1
300.3804,14.13887,1
300.5328,14.18148,1
300.6852,14.00314,1
300.8376,13.13168,1
300.99,12.05835,1
301.1424,11.44129,1
301.2948,11.59114,1
301.4471,12.6961,1
301.5995,12.94345,1
301.752,12.32812,1
301.9044,12.2317,1
302.0568,12.57587,1
302.2092,13.42288,1
302.3616,13.76869,1
302.514,13.54957,1
302.6664,13.50443,1
302.8188,13.53994,1
302.9712,14.21526,1
303.1236,13.86594,1
303.276,12.6199,1
303.4283,11.84453,1
303.5807,11.69141,1
303.7332,12.3159,1
303.8856,12.56951,1
304.038,12.83466,1
304.1904,13.36484,1
304.3428,13.57816,1
304.4952,13.50112,1
304.6476,13.65824,1
304.8,13.49689,1
304.9524,13.51144,1
305.1048,13.7922,1
305.2572,13.91288,1
305.4095,13.48768,1
305.562,12.97227,1
305.7144,12.90654,1
305.8668,13.08122,1
306.0192,12.82107,1
306.1716,12.05473,1
306.324,11.35431,1
306.4764,10.78788,1
306.6288,11.13018,1
306.7812,11.63471,1
306.9336,11.76586,1
307.086,11.55394,1
307.2384,12.55368,1
307.3907,12.26302,1
307.5432,11.17532,1
307.6956,11.80554,1
307.848,12.39491,1
308.0004,11.26551,1
308.1528,10.4607,1
308.3052,10.54404,1
308.4576,10.50754,1
308.61,10.18992,1
308.7624,10.26423,1
308.9148,10.73024,1
309.0672,11.46533,1
309.2195,11.27788,1
309.3719,11.1306,1
309.5244,11.4449,1
309.6768,11.7169,1
309.8292,12.22569,1
309.9816,12.73743,1
310.134,12.9967,1
310.2864,12.85946,1
310.4388,12.38065,1
310.5912,12.83591,1
310.7436,13.3851,1
310.896,13.53979,1
311.0484,13.5447,1
311.2007,13.34736,1
311.3531,12.77795,1
311.5056,12.76185,1
311.658,12.28539,1
311.8104,11.72838,1
311.9628,11.90477,1
312.1152,11.79215,1
312.2676,11.59599,1
312.42,11.3192,1
312.5724,11.46064,1
312.7248,11.74449,1
312.8772,12.61064,1
313.0296,13.2569,1
313.1819,13.63401,1
313.3344,13.51128,1
313.4868,13.44948,1
313.6392,13.40407,1
313.7916,13.46772,1
313.944,13.75399,1
314.0964,13.86865,1
314.2488,13.55766,1
314.4012,13.30486,1
314.5536,13.33159,1
314.706,14.14084,1
314.8584,14.89764,1
315.0108,15.22301,1
315.1631,15.43328,1
315.3156,15.08233,1
315.468,14.65626,1
315.6204,13.92395,1
315.7728,13.19792,1
315.9252,12.84151,1
316.0776,13.21289,1
316.23,13.55044,1
316.3824,14.17557,1
316.5348,14.47043,1
316.6872,13.98445,1
316.8396,14.47002,1
316.9919,14.13866,1
317.1443,13.78734,1
317.2968,13.30211,1
317.4492,13.3203,1
317.6016,12.74162,1
317.754,13.17696,1
317.9064,13.80917,1
318.0588,13.443,1
318.2112,13.04548,1
318.3636,12.93875,1
318.516,13.2061,1
318.6684,14.31328,1
318.8208,14.53775,1
318.9731,13.74473,1
319.1255,12.76607,1
319.278,12.68597,1
319.4304,12.74847,1
319.5828,12.64343,1
319.7352,12.78346,1
319.8876,13.04912,1
320.04,12.91341,2
320.1924,12.38029,2
320.3448,11.79894,2
320.4972,11.75031,2
320.6496,11.87625,2
320.802,11.71937,2
320.9543,11.12432,2
321.1068,10.21936,2
321.2592,9.998423,2
321.4116,9.921442,2
321.564,10.34409,2
321.7164,11.13099,2
321.8688,12.01993,2
322.0212,12.82517,2
322.1736,13.49011,2
322.326,13.91807,2
322.4784,14.02019,2
322.6308,13.98331,2
322.7832,13.90004,2
322.9355,13.46176,2
323.088,12.34161,2
323.2404,11.68815,2
323.3928,11.99974,2
323.5452,12.12021,2
323.6976,12.30354,2
323.85,12.72891,2
324.0024,13.48452,2
324.1548,14.78129,2
324.3072,15.78795,2
324.4596,15.98323,2
324.612,15.31561,2
324.7643,14.49982,2
324.9167,13.78686,2
325.0692,13.23185,2
325.2216,12.88441,2
325.374,12.60131,2
325.5264,12.48214,2
325.6788,12.52524,2
325.8312,12.48823,2
325.9836,12.66669,2
326.136,13.06479,2
326.2884,13.9829,2
326.4408,14.91695,2
326.5932,15.07347,2
326.7455,14.81899,2
326.8979,14.53136,2
327.0504,14.55503,2
327.2028,13.80712,2
327.3552,13.1982,2
327.5076,13.16133,2
327.66,13.20443,2
327.8124,13.24731,2
327.9648,13.35996,2
328.1172,13.46105,2
328.2696,13.83847,2
328.422,14.30365,2
328.5744,14.19251,2
328.7267,13.81937,2
328.8792,13.29355,2
329.0316,13.20246,2
329.184,13.82165,2
329.3364,14.35722,2
329.4888,14.01026,2
329.6412,13.58968,2
329.7936,13.04154,2
329.946,10.9775,2
330.0984,11.11636,2
330.2508,12.74466,2
330.4032,13.14058,2
