"","depth_mm","Mn"
"1",0,34.36
"2",0.095,35.8579545454545
"3",0.19,35.1704545454545
"4",0.285,34.316384180791
"5",0.38,35.1629213483146
"6",0.475,34.6292134831461
"7",0.57,33.9385474860335
"8",0.665,34.15
"9",0.76,34.6243093922652
"10",0.855,33.2817679558011
"11",0.95,34.3149171270718
"12",1.045,34.1381215469613
"13",1.14,35.4972375690608
"14",1.235,34.7790055248619
"15",1.33,33.5966850828729
"16",1.425,34.5690607734807
"17",1.52,35.3977900552486
"18",1.615,36.121546961326
"19",1.71,35.8839779005525
"20",1.805,34.3812154696133
"21",1.9,35.060773480663
"22",1.995,35.2154696132597
"23",2.09,34.9558011049724
"24",2.185,34
"25",2.28,35.1325966850829
"26",2.375,35.7182320441989
"27",2.47,35.0828729281768
"28",2.565,35.5801104972376
"29",2.66,35.9668508287293
"30",2.755,35.2817679558011
"31",2.85,34.5745856353591
"32",2.945,35.2762430939227
"33",3.04,34.6408839779006
"34",3.135,34.6740331491713
"35",3.23,35.7016574585635
"36",3.325,35.2872928176796
"37",3.42,34.4640883977901
"38",3.515,33.9668508287293
"39",3.61,35.3591160220994
"40",3.705,35.6022099447514
"41",3.8,35.414364640884
"42",3.895,36.1325966850829
"43",3.99,35.5138121546961
"44",4.085,34.9281767955801
"45",4.18,35.1436464088398
"46",4.275,34.1491712707182
"47",4.37,35.4696132596685
"48",4.465,35.1436464088398
"49",4.56,34.292817679558
"50",4.655,35.585635359116
"51",4.75,34.4475138121547
"52",4.845,34.8839779005525
"53",4.94,34.3701657458564
"54",5.035,33.6519337016575
"55",5.13,33.3370165745856
"56",5.225,34.8950276243094
"57",5.32,35.0828729281768
"58",5.415,35.7237569060773
"59",5.51,35.1104972375691
"60",5.605,35.0055248618785
"61",5.7,34.585635359116
"62",5.795,34.9226519337017
"63",5.89,34.6740331491713
"64",5.985,33.8176795580111
"65",6.08,35.1546961325967
"66",6.175,34.353591160221
"67",6.27,34.6353591160221
"68",6.365,33.4640883977901
"69",6.46,34.524861878453
"70",6.555,34.9171270718232
"71",6.65,34.1823204419889
"72",6.745,34.0110497237569
"73",6.84,33.9779005524862
"74",6.935,34.8563535911602
"75",7.03,34.2209944751381
"76",7.125,34.707182320442
"77",7.22,33.353591160221
"78",7.315,33.5359116022099
"79",7.41,32.4972375690608
"80",7.505,32.6187845303867
"81",7.6,33.0773480662983
"82",7.695,33.4640883977901
"83",7.79,34.0939226519337
"84",7.885,33.9116022099448
"85",7.98,33.8674033149171
"86",8.075,35.1602209944751
"87",8.17,34.4419889502762
"88",8.265,34.6685082872928
"89",8.36,34.3204419889503
"90",8.455,34.3093922651934
"91",8.55,35.0220994475138
