"","depth_mm","Fe"
"X214",28.8,348.286624203822
"X215",28.9,383.515923566879
"X216",29,389.904458598726
"X217",29.1,417.127388535032
"X218",29.2,356
"X219",29.3,340.229299363057
"X220",29.4,353.414012738854
"X221",29.5,340.949044585987
"X222",29.6,348.87898089172
"X223",29.7,334.554140127389
"X224",29.8,337.242038216561
"X225",29.9,338.025477707006
"X226",30,359.649681528662
"X227",30.1,415.84076433121
"X228",30.2,416.331210191083
"X229",30.3,343.331210191083
"X230",30.4,335.089171974522
"X231",30.5,329.910828025478
"X232",30.6,343.031847133758
"X233",30.7,340.254777070064
"X234",30.8,359.044585987261
"X235",30.9,341.407643312102
"X236",31,337.828025477707
"X237",31.1,352.770700636943
"X238",31.2,352.108280254777
"X239",31.3,369.732484076433
"X240",31.4,401.528662420382
"X241",31.5,395
"X242",31.6,369.904458598726
"X243",31.7,369.566878980892
"X244",31.8,380.292993630573
"X245",31.9,373.815286624204
"X246",32,365.458598726115
"X247",32.1,358.535031847134
"X248",32.2,357.31847133758
"X249",32.3,370.751592356688
"X250",32.4,372.471337579618
"X251",32.5,374.515923566879
"X252",32.6,371.84076433121
"X253",32.7,367.910828025478
"X254",32.8,385.738853503185
"X255",32.9,374.866242038217
"X256",33,379.630573248408
"X257",33.1,389.503184713376
"X258",33.2,380.528662420382
"X259",33.3,356.987261146497
"X260",33.4,353.789808917197
"X261",33.5,354.592356687898
"X262",33.6,350.356687898089
"X263",33.7,354.15923566879
"X264",33.8,352.095541401274
"X265",33.9,353.050955414013
"X266",34,361.872611464968
"X267",34.1,387.84076433121
"X268",34.2,393.242038216561
"X269",34.3,379.847133757962
"X270",34.4,381.03821656051
"X271",34.5,402.312101910828
"X272",34.6,368.286624203822
"X273",34.7,389.808917197452
"X274",34.8,406.917197452229
"X275",34.9,402.350318471338
"X276",35,457.853503184713
"X277",35.1,420.573248407643
"X278",35.2,433.707006369427
"X279",35.3,442.165605095541
"X280",35.4,495.522292993631
"X281",35.5,532.152866242038
"X282",35.6,500.382165605096
"X283",35.7,527.815286624204
"X284",35.8,579.59872611465
"X285",35.9,539.044585987261
"X286",36,550.821656050955
"X287",36.1,575.535031847134
"X288",36.2,606.783439490446
"X289",36.3,615.866242038217
"X290",36.4,647.114649681529
"X291",36.5,662.471337579618
"X292",36.6,706.509554140127
"X293",36.7,766.898089171975
"X294",36.8,718.133757961783
"X295",36.9,752.114649681529
"X296",37,810.636942675159
"X297",37.1,905.095541401274
"X298",37.2,864.745222929936
"X299",37.3,845.101910828025
"X300",37.4,956.630573248408
"X301",37.5,990.101910828025
"X302",37.6,1001.59872611465
"X303",37.7,1004.8025477707
"X304",37.8,1048.36942675159
"X305",37.9,1074.20382165605
"X306",38,1092.35668789809
"X307",38.1,1102.35031847134
"X308",38.2,1117.09554140127
"X309",38.3,1122.23566878981
"X310",38.4,1125.03821656051
"X311",38.5,1143.70700636943
"X312",38.6,1147.23566878981
"X313",38.7,1144.29936305732
"X314",38.8,1142.02547770701
"X315",38.9,1143.91082802548
"X316",39,1153.31210191083
"X317",39.1,1162.1847133758
"X318",39.2,1149.21656050955
"X319",39.3,1158.0127388535
"X320",39.4,1133.70063694268
"X321",39.5,1136.53503184713
"X322",39.6,1137.53503184713
"X323",39.7,1142.68152866242
"X324",39.8,1134.74522292994
"X325",39.9,1131.29936305732
"X326",40,1142.50318471338
"X327",40.1,1150.54777070064
"X328",40.2,1161.10191082803
"X329",40.3,1176.43312101911
"X330",40.4,1197.73248407643
"X331",40.5,1193.94904458599
"X332",40.6,1188.10191082803
"X333",40.7,1192.77707006369
"X334",40.8,1186.75796178344
"X335",40.9,1183.37579617834
"X336",41,1187.63694267516
"X337",41.1,1188.84713375796
"X338",41.2,1193.79617834395
"X339",41.3,1191.73248407643
"X340",41.4,1192.86624203822
"X341",41.5,1198.08917197452
"X342",41.6,1182.80891719745
"X343",41.7,1195.33121019108
"X344",41.8,1194.45859872611
"X345",41.9,1193.28662420382
"X346",42,1251.50318471338
"X347",42.1,1251.99363057325
"X348",42.2,1292.85987261146
"X349",42.3,1295.92993630573
"X350",42.4,1284.25477707006
"X351",42.5,1314.08917197452
"X352",42.6,1266.56687898089
"X353",42.7,1255.89808917197
"X354",42.8,1302.70063694268
"X355",42.9,1385.70063694268
"X356",43,1295.32484076433
"X357",43.1,1273.08280254777
"X358",43.2,1314.63694267516
"X359",43.3,1293.16560509554
"X360",43.4,1495.91719745223
"X361",43.5,1527.98089171975
"X362",43.6,1549.17834394904
"X363",43.7,1625.69426751592
"X364",43.8,1640.91719745223
"X365",43.9,1434.14012738854
"X366",44,1308.44585987261
"X367",44.1,1405.64331210191
"X368",44.2,1573.64331210191
"X369",44.3,1678.14012738854
"X370",44.4,1569.72611464968
"X371",44.5,1480.93630573248
"X372",44.6,1556.42038216561
"X373",44.7,1569.62420382166
"X374",44.8,1799.29936305732
"X375",44.9,1894.08917197452
"X376",45,1801.70700636943
"X377",45.1,1680.68152866242
"X378",45.2,1612.28662420382
"X379",45.3,1610.38853503185
"X380",45.4,1454.26751592357
"X381",45.5,1409.85350318471
"X382",45.6,1344.85350318471
"X383",45.7,1522.24203821656
"X384",45.8,1759.91719745223
"X385",45.9,1748.68152866242
"X386",46,1452.80891719745
"X387",46.1,1217.22292993631
"X388",46.2,1289.12738853503
"X389",46.3,1417.26114649682
"X390",46.4,1614.75159235669
"X391",46.5,1956.43949044586
"X392",46.6,2042.63694267516
"X393",46.7,1944.42038216561
"X394",46.8,2239.40127388535
"X395",46.9,1960.03184713376
"X396",47,1843.10828025478
"X397",47.1,2135.90445859873
"X398",47.2,2215.69426751592
"X399",47.3,2362.68152866242
"X400",47.4,2299.26751592357
"X401",47.5,2363.3949044586
"X402",47.6,2325.82802547771
"X403",47.7,2099.31210191083
"X404",47.8,1894.34394904459
"X405",47.9,1862.19108280255
"X406",48,1599.34394904459
"X407",48.1,1465.15286624204
"X408",48.2,1601.16560509554
"X409",48.3,1783.98089171975
"X410",48.4,1832.47770700637
"X411",48.5,2088.46496815287
"X412",48.6,2175.93630573248
"X413",48.7,2205.43312101911
"X414",48.8,2227.03821656051
"X415",48.9,2094.92356687898
"X416",49,2123.26114649682
"X417",49.1,2107.26114649682
"X418",49.2,2047.03184713376
"X419",49.3,1540.61146496815
"X420",49.4,1606.24840764331
"X421",49.5,1877.01910828025
"X422",49.6,1763.29299363057
"X423",49.7,1605.75796178344
"X424",49.8,1681.36305732484
"X425",49.9,1676.95541401274
"X426",50,1658.80891719745
"X427",50.1,1472.64968152866
"X428",50.2,1287.01910828025
"X429",50.3,1379.73248407643
"X430",50.4,1378.77070063694
"X431",50.5,1510.40127388535
"X432",50.6,1712.70700636943
"X433",50.7,1629.71337579618
"X434",50.8,1590.66878980892
"X435",50.9,1414.95541401274
"X436",51,1321.51592356688
"X437",51.1,1450.31210191083
"X438",51.2,1533.82165605096
"X439",51.3,1475.17834394904
"X440",51.4,1692.71974522293
"X441",51.5,1776.77707006369
"X442",51.6,1901.73885350318
"X443",51.7,1857.61146496815
"X444",51.8,1888.06369426752
"X445",51.9,1778.88535031847
"X446",52,1646.98089171975
"X447",52.1,1693.24840764331
"X448",52.2,1440.68789808917
"X449",52.3,1126.90445859873
"X450",52.4,1079.43312101911
"X451",52.5,1285.25477707006
"X452",52.6,1266.38853503185
"X453",52.7,1133.07643312102
"X454",52.8,916.299363057325
"X455",52.9,820.133757961783
"X456",53,723.127388535032
"X457",53.1,607.535031847134
"X458",53.2,610.707006369427
"X459",53.3,618.089171974522
"X460",53.4,574.630573248408
"X461",53.5,585.528662420382
"X462",53.6,554.433121019108
"X463",53.7,548.872611464968
"X464",53.8,516.535031847134
"X465",53.9,561.656050955414
"X466",54,552.458598726115
"X467",54.1,511.783439490446
"X468",54.2,501.382165605096
"X469",54.3,491.656050955414
"X470",54.4,492.904458598726
"X471",54.5,462.936305732484
"X472",54.6,458.955414012739
"X473",54.7,446.656050955414
"X474",54.8,431.910828025478
"X475",54.9,432.707006369427
"X476",55,444.222929936306
"X477",55.1,427.031847133758
"X478",55.2,431.28025477707
"X479",55.3,492.433121019108
"X480",55.4,469.292993630573
"X481",55.5,469.59872611465
"X482",55.6,430.732484076433
"X483",55.7,379.350318471338
"X484",55.8,378.452229299363
"X485",55.9,409.324840764331
"X486",56,383.713375796178
"X487",56.1,420.396761133603
"X488",56.2,410.910931174089
"X489",56.3,426.230769230769
"X490",56.4,431.923076923077
"X491",56.5,437.858299595142
"X492",56.6,432.866396761134
"X493",56.7,391.267206477733
"X494",56.8,354.740890688259
"X495",56.9,335.060975609756
"X496",57,353.752032520325
"X497",57.1,353.198380566802
"X498",57.2,322.202429149798
"X499",57.3,325.449392712551
"X500",57.4,356.089068825911
"X501",57.5,366.323886639676
"X502",57.6,359.720647773279
"X503",57.7,353.052631578947
"X504",57.8,356.331983805668
"X505",57.9,354.259109311741
"X506",58,334.345528455285
"X507",58.1,353.607287449393
"X508",58.2,388.222672064777
"X509",58.3,382.174796747967
"X510",58.4,401.008097165992
"X511",58.5,391.906882591093
"X512",58.6,393.805668016194
"X513",58.7,388.072874493927
"X514",58.8,354.506072874494
"X515",58.9,363.376518218623
"X516",59,380.295546558704
"X517",59.1,416.542510121457
"X518",59.2,480.14979757085
"X519",59.3,544.53036437247
"X520",59.4,547.485829959514
"X521",59.5,522.858299595142
"X522",59.6,532.930894308943
"X523",59.7,559.593495934959
"X524",59.8,560.227642276423
"X525",59.9,446.170833333333
"X526",60,331.954802259887
"X527",60.1,636.571428571429
"X528",60.2,650.926108374384
"X529",60.3,641.551724137931
"X530",60.4,634.364532019704
"X531",60.5,634.965517241379
"X532",60.6,638.35960591133
"X533",60.7,652.221674876847
"X534",60.8,669.334975369458
"X535",60.9,641.684729064039
"X536",61,605.674876847291
"X537",61.1,583.133004926108
"X538",61.2,579.625615763547
"X539",61.3,587.467980295566
"X540",61.4,586.881773399015
"X541",61.5,580.12315270936
"X542",61.6,581.522167487685
"X543",61.7,585.330049261084
"X544",61.8,609.911330049261
"X545",61.9,625.847290640394
"X546",62,628.699507389163
"X547",62.1,657.305418719212
"X548",62.2,700.448275862069
"X549",62.3,718.364532019704
"X550",62.4,712.674876847291
"X551",62.5,712.354679802956
"X552",62.6,720.142857142857
"X553",62.7,725.039408866995
"X554",62.8,760.591133004926
"X555",62.9,813.541871921182
"X556",63,807.064039408867
"X557",63.1,790.566502463054
"X558",63.2,776.049261083744
"X559",63.3,755.84236453202
"X560",63.4,751.315270935961
"X561",63.5,767.581280788177
"X562",63.6,765.679802955665
"X563",63.7,700.901477832512
"X564",63.8,672.76354679803
"X565",63.9,667.349753694581
"X566",64,612.256157635468
"X567",64.1,625.591133004926
"X568",64.2,646.349753694581
"X569",64.3,615.669950738916
"X570",64.4,645.492610837438
"X571",64.5,658.28078817734
"X572",64.6,640.645320197044
"X573",64.7,645.369458128079
"X574",64.8,607.655172413793
"X575",64.9,576.48275862069
"X576",65,561.566502463054
"X577",65.1,563.369458128079
"X578",65.2,546.35960591133
"X579",65.3,520.029556650246
"X580",65.4,501.034482758621
"X581",65.5,507.339901477832
"X582",65.6,472.330049261084
"X583",65.7,444.576354679803
"X584",65.8,461.187192118227
"X585",65.9,508.241379310345
"X586",66,513.724137931035
"X587",66.1,532.600985221675
"X588",66.2,558.847290640394
"X589",66.3,545.463054187192
"X590",66.4,537.211822660099
"X591",66.5,520.507389162562
"X592",66.6,511.418719211823
"X593",66.7,514.995073891626
"X594",66.8,524
"X595",66.9,491.15763546798
"X596",67,470.729064039409
"X597",67.1,434.310344827586
"X598",67.2,410.935960591133
"X599",67.3,400.581280788177
"X600",67.4,435.886699507389
"X601",67.5,497.990147783251
"X602",67.6,480.768472906404
"X603",67.7,413.985221674877
"X604",67.8,367.679802955665
"X605",67.9,344.896551724138
"X606",68,351.970443349754
"X607",68.1,353.64039408867
"X608",68.2,348.635467980296
"X609",68.3,392.315270935961
"X610",68.4,395.320197044335
"X611",68.5,391.113300492611
"X612",68.6,465.12315270936
"X613",68.7,466.733990147783
"X614",68.8,480.364532019704
"X615",68.9,528
"X616",69,509.586206896552
"X617",69.1,474.812807881773
"X618",69.2,484.034482758621
"X619",69.3,564.635467980296
"X620",69.4,700.610837438424
"X621",69.5,677.098522167488
"X622",69.6,597.571428571429
"X623",69.7,513.029556650246
"X624",69.8,453.014778325123
"X625",69.9,400.605911330049
"X626",70,364.014778325123
"X627",70.1,367.423645320197
"X628",70.2,371.295566502463
"X629",70.3,382.152709359606
"X630",70.4,379.738916256158
"X631",70.5,401.502463054187
"X632",70.6,418.827586206897
"X633",70.7,424.374384236453
"X634",70.8,413.354679802956
"X635",70.9,408.162561576355
"X636",71,405.871921182266
"X637",71.1,426.901477832512
"X638",71.2,434.334975369458
"X639",71.3,428.197044334975
"X640",71.4,446.64039408867
"X641",71.5,443.108374384236
"X642",71.6,395.064039408867
"X643",71.7,388.399014778325
"X644",71.8,393.049261083744
"X645",71.9,405.837438423645
"X646",72,419.093596059113
"X647",72.1,428.817733990148
"X648",72.2,430.600985221675
"X649",72.3,460.522167487685
"X650",72.4,513.674876847291
"X651",72.5,524.197044334975
"X652",72.6,538.576354679803
"X653",72.7,507.344827586207
"X654",72.8,434.566502463054
"X655",72.9,428.891625615764
"X656",73,452.261083743842
"X657",73.1,484.536945812808
"X658",73.2,481.630541871921
"X659",73.3,476.566502463054
"X660",73.4,480.310344827586
"X661",73.5,480.221674876847
"X662",73.6,489.339901477832
"X663",73.7,505.177339901478
"X664",73.8,480.684729064039
"X665",73.9,471.591133004926
"X666",74,487.689655172414
"X667",74.1,495.093596059113
"X668",74.2,511.088669950739
"X669",74.3,515.5960591133
"X670",74.4,529.098522167488
"X671",74.5,585.394088669951
"X672",74.6,647.71921182266
"X673",74.7,689.192118226601
"X674",74.8,734.724137931035
"X675",74.9,748.600985221675
"X676",75,773.970443349754
"X677",75.1,781.408866995074
"X678",75.2,784.128078817734
"X679",75.3,786.630541871921
"X680",75.4,797.448275862069
"X681",75.5,807.226600985222
"X682",75.6,834.019704433498
"X683",75.7,839.980295566502
"X684",75.8,847.620689655172
"X685",75.9,832.980295566502
"X686",76,795.364532019704
"X687",76.1,770.108374384236
"X688",76.2,719.197044334975
"X689",76.3,685.098522167488
"X690",76.4,659.315270935961
"X691",76.5,663.92118226601
"X692",76.6,666.20197044335
"X693",76.7,661.512315270936
"X694",76.8,727.384236453202
"X695",76.9,683.330049261084
"X696",77,628.4039408867
"X697",77.1,731.231527093596
"X698",77.2,674.605911330049
"X699",77.3,620.655172413793
"X700",77.4,739.467980295566
"X701",77.5,750.192118226601
"X702",77.6,602.566502463054
"X703",77.7,563.970443349754
"X704",77.8,525.847290640394
"X705",77.9,475.394088669951
"X706",78,394.945812807882
"X707",78.1,353.192118226601
"X708",78.2,325.039408866995
"X709",78.3,336.270935960591
"X710",78.4,378.955665024631
"X711",78.5,393.334975369458
"X712",78.6,442.881773399015
"X713",78.7,468.502463054187
"X714",78.8,383.177339901478
"X715",78.9,303.714285714286
"X716",79,306.945812807882
"X717",79.1,363.443349753695
"X718",79.2,366.216748768473
"X719",79.3,317.059113300493
"X720",79.4,297.413793103448
"X721",79.5,273.674876847291
"X722",79.6,272.571428571429
"X723",79.7,284.049261083744
"X724",79.8,331.12315270936
"X725",79.9,302.192118226601
"X726",80,327.729064039409
"X727",80.1,292.566502463054
"X728",80.2,255.970443349754
"X729",80.3,254.620689655172
"X730",80.4,249.655172413793
"X731",80.5,254.379310344828
"X732",80.6,260.551724137931
"X733",80.7,258.147783251232
"X734",80.8,251.43842364532
"X735",80.9,283.586206896552
"X736",81,305.147783251232
"X737",81.1,350.192118226601
"X738",81.2,296.463054187192
"X739",81.3,251.758620689655
"X740",81.4,251.591133004926
"X741",81.5,272.35960591133
"X742",81.6,272.408866995074
"X743",81.7,278.083743842365
"X744",81.8,306.79802955665
"X745",81.9,286.822660098522
"X746",82,282.014778325123
"X747",82.1,286.4039408867
"X748",82.2,273.270935960591
"X749",82.3,277.600985221675
"X750",82.4,269.783251231527
"X751",82.5,276.901477832512
"X752",82.6,280.694581280788
"X753",82.7,295.246305418719
"X754",82.8,303.832512315271
"X755",82.9,315.857142857143
"X756",83,320.399014778325
"X757",83.1,340.433497536946
"X758",83.2,359.600985221675
"X759",83.3,386.704433497537
"X760",83.4,413.679802955665
"X761",83.5,438.261083743842
"X762",83.6,455.980295566502
"X763",83.7,469.630541871921
"X764",83.8,489.216748768473
"X765",83.9,504.507389162562
"X766",84,537.926108374384
"X767",84.1,549.990147783251
"X768",84.2,564.748768472906
"X769",84.3,593.246305418719
"X770",84.4,594.807881773399
"X771",84.5,607.522167487685
"X772",84.6,649.773399014778
"X773",84.7,678.84236453202
"X774",84.8,698.502463054187
"X775",84.9,729.709359605911
"X776",85,739.76354679803
"X777",85.1,764.724137931035
