"DEPTH_WMSF","HCGR"
47.5488,-0.5289
47.7012,-0.2975
47.8536,-0.4274
48.006,-0.6539
48.1584,0.1789
48.3108,0.4099
48.4632,0.2526
48.6156,0.1571
48.768,0.3682
48.9204,0.6587
49.0728,0.8943
49.2252,1.1469
49.3776,0.9848
49.53,0.8676
49.6824,0.9361
49.8348,0.3222
49.9872,0.2757
50.1396,0.3442
50.292,0.398
50.4444,0.3261
50.5968,0.3636
50.7492,0.6822
50.9016,0.7513
51.054,0.8453
51.2064,0.9129
51.3588,0.9531
51.5112,1.0518
51.6636,0.9705
51.816,0.7617
51.9684,0.8781
52.1208,0.7372
52.2732,0.7912
52.4256,0.5677
52.578,0.2842
52.7304,0.1344
52.8828,0.0097
53.0352,-0.008
53.1876,-0.0767
53.34,0.1992
53.4924,0.1958
53.6448,-0.1025
53.7972,-0.0031
53.9496,-0.1602
54.102,-0.1373
54.2544,-0.0483
54.4068,0.3342
54.5592,0.338
54.7116,0.4039
54.864,0.4881
55.0164,0.4734
55.1688,0.5053
55.3212,0.6865
55.4736,0.5729
55.626,0.6158
55.7784,0.8414
55.9308,0.8156
56.0832,0.3147
56.2356,0.0813
56.388,-0.1216
56.5404,-0.2082
56.6928,-0.1704
56.8452,-0.0448
56.9976,-0.0121
57.15,-0.0263
57.3024,0.0921
57.4548,-0.046
57.6072,-0.0661
57.7596,-0.1354
57.912,-0.282
58.0644,-0.33
58.2168,-0.2481
58.3692,-0.2964
58.5216,-0.3193
58.674,-0.1703
58.8264,-0.0787
58.9788,-0.1834
59.1312,-0.2369
59.2836,-0.2824
59.436,-0.2752
59.5884,-0.0292
59.7408,8e-04
59.8932,-0.0661
60.0456,-0.0039
60.198,-0.0545
60.3504,-0.0275
60.5028,-5e-04
60.6552,0.3611
60.8076,0.6098
60.96,0.4016
61.1124,0.4304
61.2648,0.4444
61.4172,0.8587
61.5696,1.4007
61.722,1.4065
61.8744,1.2491
62.0268,0.7065
62.1792,0.5596
62.3316,0.3186
62.484,0.2431
62.6364,0.3128
62.7888,0.2702
62.9412,0.3987
63.0936,0.7923
63.246,1.1346
63.3984,1.5358
63.5508,1.5614
63.7032,1.7614
63.8556,1.4921
64.008,1.304
64.1604,1.3239
64.3128,1.4898
64.4652,1.9439
64.6176,1.4727
64.77,0.5015
64.9224,0.113
65.0748,0.2571
65.2272,0.3234
65.3796,0.1765
65.532,0.0797
65.6844,0.2718
65.8368,0.2008
65.9892,0.006
66.1416,0.0294
66.294,0.2328
66.4464,0.3511
66.5988,0.2915
66.7512,0.4668
66.9036,1.1076
67.056,1.5312
67.2084,1.9745
67.3608,1.8591
67.5132,1.8613
67.6656,1.6623
67.818,1.1838
67.9704,0.6944
68.1228,0.5366
68.2752,0.8229
68.4276,0.9904
68.58,0.3194
68.7324,0.097
68.8848,-0.1402
69.0372,0.1539
69.1896,0.5068
69.342,0.442
69.4944,0.2355
69.6468,0.1872
69.7992,0.2975
69.9516,0.5987
70.104,0.7916
70.2564,0.9019
70.4088,1.1156
70.5612,1.1122
70.7136,1.008
70.866,0.7451
71.0184,0.8851
71.1708,0.6854
71.3232,0.7486
71.4756,0.6972
71.628,0.7239
71.7804,0.637
71.9328,0.7638
72.0852,0.5401
72.2376,0.689
72.39,0.7205
72.5424,0.8399
72.6948,0.676
72.8472,0.4678
72.9996,0.3476
73.152,0.3275
73.3044,0.3687
73.4568,0.4055
73.6092,0.2056
73.7616,-0.1351
73.914,-0.2621
74.0664,-0.1601
74.2188,-0.0215
74.3712,0.1196
74.5236,0.1838
74.676,0.1668
74.8284,0.4893
74.9808,0.9843
75.1332,0.8703
75.2856,0.9807
75.438,1.0454
75.5904,1.524
75.7428,1.5557
75.8952,1.3211
76.0476,0.8813
76.2,0.9229
76.3524,1.3655
76.5048,0.7894
76.6572,0.401
76.8096,0.2333
76.962,0.2787
77.1144,0.4007
77.2668,0.4717
77.4192,0.2783
77.5716,0.1656
77.724,0.1107
77.8764,-0.1208
78.0288,-0.2453
78.1812,0.0103
78.3336,-0.2168
78.486,-0.2818
78.6384,-0.4066
78.7908,-0.2185
78.9432,-0.3061
79.0956,-0.3153
79.248,-0.3866
79.4004,-0.3177
79.5528,0.0594
79.7052,0.0805
79.8576,-0.1059
80.01,-0.1235
80.1624,0.0293
80.3148,0.1363
80.4672,0.3001
80.6196,0.6961
80.772,1.0143
80.9244,1.0858
81.0768,1.198
81.2292,0.9889
81.3816,0.7213
81.534,0.9031
81.6864,0.8381
81.8388,0.8229
81.9912,0.6101
82.1436,0.0854
82.296,-0.2768
82.4484,-0.4371
82.6008,-0.4506
82.7532,-0.2108
82.9056,0.1668
83.058,0.5747
83.2104,0.5449
83.3628,0.5649
83.5152,0.4914
83.6676,0.3995
83.82,0.4886
83.9724,0.5952
84.1248,0.6947
84.2772,0.5973
84.4296,0.2975
84.582,-0.097
84.7344,-0.5917
84.8868,-0.4246
85.0392,-0.1972
85.1916,-0.0879
85.344,-0.0148
85.4964,-0.1555
85.6488,-0.2854
85.8012,-0.2615
85.9536,-0.2678
86.106,-0.0888
86.2584,0.1062
86.4108,0.2865
86.5632,0.214
86.7156,0.2097
86.868,0.1881
87.0204,0.2821
87.1728,0.6934
87.3252,0.767
87.4776,0.6141
87.63,0.5763
87.7824,0.6786
87.9348,0.873
88.0872,1.0585
88.2396,1.4398
88.392,1.371
88.5444,1.4935
88.6968,1.5749
88.8492,1.3441
89.0016,1.6497
89.154,1.9562
89.3064,1.8557
89.4588,1.5928
89.6112,1.3046
89.7636,1.5208
89.916,1.7882
90.0684,1.8564
90.2208,1.6996
90.3732,1.3308
90.5256,1.1328
90.678,0.6066
90.8304,0.8379
90.9828,1.3135
91.1352,1.5439
91.2876,2.3579
91.44,2.3542
91.5924,2.2679
91.7448,2.2727
91.8972,2.1276
92.0496,2.1139
92.202,2.0766
92.3544,2.4472
92.5068,2.2004
92.6592,2.246
92.8116,1.9948
92.964,1.0038
93.1164,0.9432
93.2688,0.6354
93.4212,0.5608
93.5736,0.4478
93.726,0.3464
93.8784,0.4464
94.0308,0.718
94.1832,0.5975
94.3356,0.3627
94.488,0.8111
94.6404,1.1355
94.7928,1.3598
94.9452,1.5025
95.0976,1.6536
95.25,2.2243
95.4024,2.5349
95.5548,2.825
95.7072,2.4166
95.8596,1.8212
96.012,1.7657
96.1644,1.9351
96.3168,2.2132
96.4692,1.9459
96.6216,1.6056
96.774,1.4318
96.9264,1.2279
97.0788,1.0255
97.2312,0.8259
