"","depth_mm","Si"
"X233",23.2,2.1587982832618
"X234",23.3,2.14225941422594
"X235",23.4,2.29824561403509
"X236",23.5,2.13983050847458
"X237",23.6,2.215859030837
"X238",23.7,2.15137614678899
"X239",23.8,2.18055555555556
"X240",23.9,2.26521739130435
"X241",24,2.14102564102564
"X242",24.1,2.30316742081448
"X243",24.2,2.09565217391304
"X244",24.3,2.24255319148936
"X245",24.4,2.10619469026549
"X246",24.5,2.33333333333333
"X247",24.6,2.15021459227468
"X248",24.7,2.32456140350877
"X249",24.8,2.19555555555556
"X250",24.9,2.4025974025974
"X251",25,2.08695652173913
"X252",25.1,2.30672268907563
"X253",25.2,2.26406926406926
"X254",25.3,2.32314410480349
"X255",25.4,2.46818181818182
"X256",25.5,2.33928571428571
"X257",25.6,2.215859030837
"X258",25.7,2.18433179723502
"X259",25.8,2.17699115044248
"X260",25.9,2.35344827586207
"X261",26,2.31441048034934
"X262",26.1,2.29411764705882
"X263",26.2,2.18859649122807
"X264",26.3,2.13122171945701
"X265",26.4,2.12663755458515
"X266",26.5,2.15909090909091
"X267",26.6,2.20091324200913
"X268",26.7,1.96536796536797
"X269",26.8,2.16591928251121
"X270",26.9,2.17180616740088
"X271",27,2.27631578947368
"X272",27.1,2.1875
"X273",27.2,2.25438596491228
"X274",27.3,2.3030303030303
"X275",27.4,2.26222222222222
"X276",27.5,2.20796460176991
"X277",27.6,2.18502202643172
"X278",27.7,2.32894736842105
"X279",27.8,2.45175438596491
"X280",27.9,2.38461538461538
"X281",28,2.17982456140351
"X282",28.1,2.29385964912281
"X283",28.2,2.45291479820628
"X284",28.3,2.17316017316017
"X285",28.4,2.25751072961373
"X286",28.5,2.20175438596491
"X287",28.6,2.32905982905983
"X288",28.7,2.29824561403509
"X289",28.8,2.23788546255507
"X290",28.9,2.30290456431535
"X291",29,2.30252100840336
"X292",29.1,2.24122807017544
"X293",29.2,2.30555555555556
"X294",29.3,2.44871794871795
"X295",29.4,2.42477876106195
"X296",29.5,2.33617021276596
"X297",29.6,2.62761506276151
"X298",29.7,2.54811715481172
"X299",29.8,2.39910313901345
"X300",29.9,2.40677966101695
"X301",30,2.22522522522523
"X302",30.1,2.18454935622318
"X303",30.2,2.25619834710744
"X304",30.3,2.05882352941176
"X305",30.4,2.26754385964912
"X306",30.5,2.23287671232877
"X307",30.6,2.14222222222222
"X308",30.7,2.20982142857143
"X309",30.8,2.22727272727273
"X310",30.9,2.23144104803493
"X311",31,2.28378378378378
"X312",31.1,2.38723404255319
"X313",31.2,2.22978723404255
"X314",31.3,2.34334763948498
"X315",31.4,2.24778761061947
"X316",31.5,2.19396551724138
"X317",31.6,2.08035714285714
"X318",31.7,2.26818181818182
"X319",31.8,2.33183856502242
"X320",31.9,2.15450643776824
"X321",32,2.25438596491228
"X322",32.1,2.15062761506276
"X323",32.2,2.27896995708155
"X324",32.3,2.05357142857143
"X325",32.4,2.16444444444444
"X326",32.5,2.33039647577093
"X327",32.6,2.20171673819742
"X328",32.7,2.19148936170213
"X329",32.8,2.21459227467811
"X330",32.9,2.25957446808511
"X331",33,2.40343347639485
"X332",33.1,2.29824561403509
"X333",33.2,2.26521739130435
"X334",33.3,2.2258064516129
"X335",33.4,2.19915254237288
"X336",33.5,2.04385964912281
"X337",33.6,2.3056768558952
"X338",33.7,2.26293103448276
"X339",33.8,2.25641025641026
"X340",33.9,2.37719298245614
"X341",34,2.1858407079646
"X342",34.1,2.18061674008811
"X343",34.2,2.32599118942731
"X344",34.3,2.38961038961039
"X345",34.4,2.38983050847458
"X346",34.5,2.2972972972973
"X347",34.6,2.29411764705882
"X348",34.7,2.23144104803493
"X349",34.8,2.26271186440678
"X350",34.9,2.17573221757322
"X351",35,2.41228070175439
"X352",35.1,2.4235807860262
"X353",35.2,2.14932126696833
"X354",35.3,2.2936170212766
"X355",35.4,2.35775862068966
"X356",35.5,2.27155172413793
"X357",35.6,2.28444444444444
"X358",35.7,2.24017467248908
"X359",35.8,2.39240506329114
"X360",35.9,2.27705627705628
"X361",36,2.17699115044248
"X362",36.1,2.22707423580786
"X363",36.2,2.42105263157895
"X364",36.3,2.26086956521739
"X365",36.4,2.25738396624473
"X366",36.5,2.0995670995671
"X367",36.6,2.2034632034632
"X368",36.7,2.24180327868852
"X369",36.8,2.25862068965517
"X370",36.9,2.30962343096234
"X371",37,2.24215246636771
"X372",37.1,2.21428571428571
"X373",37.2,2.23430962343096
"X374",37.3,2.21794871794872
"X375",37.4,2.2991452991453
"X376",37.5,2.24267782426778
"X377",37.6,2.12663755458515
"X378",37.7,2.25112107623318
"X379",37.8,2.21304347826087
"X380",37.9,2.14285714285714
"X381",38,2.18777292576419
"X382",38.1,2.31221719457014
"X383",38.2,2.33744855967078
"X384",38.3,2.36099585062241
"X385",38.4,2.3393665158371
"X386",38.5,2.22784810126582
"X387",38.6,2.3640350877193
"X388",38.7,2.28270042194093
"X389",38.8,2.30263157894737
"X390",38.9,2.48101265822785
"X391",39,2.41441441441441
"X392",39.1,2.41666666666667
"X393",39.2,2.39484978540773
"X394",39.3,2.45531914893617
"X395",39.4,2.46575342465753
"X396",39.5,2.43404255319149
"X397",39.6,2.225
"X398",39.7,2.33617021276596
"X399",39.8,2.33628318584071
"X400",39.9,2.49787234042553
"X401",40,2.34199134199134
"X402",40.1,2.26724137931034
"X403",40.2,2.63559322033898
"X404",40.3,2.30801687763713
"X405",40.4,2.55021834061135
"X406",40.5,2.35217391304348
"X407",40.6,2.43776824034335
"X408",40.7,2.50212765957447
"X409",40.8,2.36514522821577
"X410",40.9,2.45714285714286
"X411",41,2.28451882845188
"X412",41.1,2.33333333333333
"X413",41.2,2.43722943722944
"X414",41.3,2.36363636363636
"X415",41.4,2.38034188034188
"X416",41.5,2.28181818181818
"X417",41.6,2.20253164556962
"X418",41.7,2.27631578947368
"X419",41.8,2.29257641921397
"X420",41.9,2.30263157894737
"X421",42,2.22026431718062
"X422",42.1,2.12987012987013
"X423",42.2,2.28571428571429
"X424",42.3,2.15720524017467
"X425",42.4,2.18260869565217
"X426",42.5,2.25
"X427",42.6,2.20960698689956
"X428",42.7,2.30869565217391
"X429",42.8,2.1057268722467
"X430",42.9,2.22270742358079
"X431",43,2.15068493150685
"X432",43.1,2.18421052631579
"X433",43.2,2.19736842105263
"X434",43.3,2.28636363636364
"X435",43.4,2.29613733905579
"X436",43.5,2.2780269058296
"X437",43.6,2.30131004366812
"X438",43.7,2.26431718061674
"X439",43.8,2.35371179039301
"X440",43.9,2.34347826086957
"X441",44,2.26724137931034
"X442",44.1,2.14468085106383
"X443",44.2,2.32300884955752
"X444",44.3,2.31896551724138
"X445",44.4,2.11013215859031
"X446",44.5,2.23076923076923
"X447",44.6,2.3402489626556
"X448",44.7,2.52100840336134
"X449",44.8,2.32478632478632
"X450",44.9,2.50840336134454
"X451",45,2.47899159663866
"X452",45.1,2.12053571428571
"X453",45.2,2.40969162995595
"X454",45.3,2.50869565217391
"X455",45.4,2.59656652360515
"X456",45.5,2.62978723404255
"X457",45.6,2.5546218487395
"X458",45.7,2.62704918032787
"X459",45.8,2.37446808510638
"X460",45.9,2.43722943722944
"X461",46,2.33478260869565
"X462",46.1,2.45957446808511
"X463",46.2,2.48497854077253
"X464",46.3,2.36480686695279
"X465",46.4,2.38589211618257
"X466",46.5,2.68936170212766
"X467",46.6,2.81069958847737
"X468",46.7,2.66806722689076
"X469",46.8,2.71308016877637
"X470",46.9,2.46320346320346
"X471",47,2.66515837104072
