"Measured Depth","Gamma-Ray log"
199.644,6.447098
199.7964,7.009842
199.9488,7.426922
200.1012,6.979179
200.2536,6.077435
200.406,5.928493
200.5584,6.375732
200.7108,6.110607
200.8632,5.31496
201.0156,5.723415
201.168,6.293915
201.3204,7.119747
201.4728,8.589638
201.6252,9.529243
201.7776,9.620338
201.93,9.568642
202.0824,11.53799
202.2348,12.63622
202.3872,11.14491
202.5396,11.23264
202.692,11.46829
202.8444,11.06837
202.9968,10.5755
203.1492,10.29362
203.3016,10.61906
203.454,9.795837
203.6064,9.0821
203.7588,9.871254
203.9112,10.22517
204.0636,8.668953
204.216,8.302734
204.3684,8.506393
204.5208,10.4583
204.6732,11.43638
204.8256,11.68786
204.978,11.84182
205.1304,12.35577
205.2828,12.53689
205.4352,12.68784
205.5876,12.86512
205.74,12.52493
205.8924,12.09805
206.0448,11.34744
206.1972,9.409264
206.3496,9.012444
206.502,8.779907
206.6544,7.480022
206.8068,7.146805
206.9592,8.449173
207.1116,9.016266
207.264,9.368858
207.4164,9.389015
207.5688,9.473854
207.7212,9.871277
207.8736,10.3548
208.026,12.19011
208.1784,14.11441
208.3308,13.66303
208.4832,12.60647
208.6356,12.91331
208.788,11.82167
208.9404,10.21732
209.0928,9.008896
209.2452,10.06763
209.3976,9.957726
209.55,10.41921
209.7024,11.15517
209.8548,12.12312
210.0072,12.69834
210.1596,13.04626
210.312,13.09328
210.4644,13.86884
210.6168,14.12896
210.7692,13.17781
210.9216,11.45862
211.074,10.47698
211.2264,9.916885
211.3788,9.946022
211.5312,10.77331
211.6836,11.38467
211.836,11.6276
211.9884,10.63402
212.1408,9.319298
212.2932,9.046227
212.4456,8.508034
212.598,7.255375
212.7504,8.64473
212.9028,11.37357
213.0552,12.8867
213.2076,13.00281
213.36,11.96609
213.5124,10.92839
213.6648,9.919472
213.8172,8.664757
213.9696,7.798996
214.122,8.829666
214.2744,9.1623
214.4268,8.934479
214.5792,9.057648
214.7316,10.54348
214.884,11.57252
215.0364,11.71383
215.1888,11.67904
215.3412,11.87697
215.4936,12.28422
215.646,12.67529
215.7984,13.15263
215.9508,13.53427
216.1032,13.3791
216.2556,13.35515
216.408,13.27823
216.5604,13.2654
216.7128,13.29418
216.8652,13.25631
217.0176,12.8196
217.17,12.31095
217.3224,11.39647
217.4748,11.07507
217.6272,11.21036
217.7796,10.44263
217.932,8.935417
218.0844,8.493416
218.2368,10.27545
218.3892,11.45537
218.5416,12.65105
218.694,14.33688
218.8464,14.93185
218.9988,14.01004
219.1512,12.59496
219.3036,12.26245
219.456,12.41809
219.6084,12.67394
219.7608,12.87681
219.9132,12.59914
220.0656,12.7657
220.218,14.80811
220.3704,15.0574
