"","depth_mm","K"
"X216",29,66.9615384615385
"X217",29.1,71.3913043478261
"X218",29.2,64.6
"X219",29.3,65.3181818181818
"X220",29.4,64.3333333333333
"X221",29.5,57.1481481481481
"X222",29.6,56.2692307692308
"X223",29.7,75.9090909090909
"X224",29.8,68.96
"X225",29.9,70.72
"X226",30,61.1290322580645
"X227",30.1,63.9705882352941
"X228",30.2,73.4117647058823
"X229",30.3,76.7058823529412
"X230",30.4,56.0681818181818
"X231",30.5,46.5609756097561
"X232",30.6,52.2105263157895
"X233",30.7,54.9761904761905
"X234",30.8,70
"X235",30.9,53.8780487804878
"X236",31,57.7837837837838
"X237",31.1,55.9
"X238",31.2,70.6764705882353
"X239",31.3,72.5277777777778
"X240",31.4,61.4722222222222
"X241",31.5,79.8571428571429
"X242",31.6,88.7777777777778
"X243",31.7,69.96875
"X244",31.8,101.95652173913
"X245",31.9,76.8666666666667
"X246",32,77.4666666666667
"X247",32.1,51.2045454545455
"X248",32.2,58.8157894736842
"X249",32.3,69.6666666666667
"X250",32.4,69.3846153846154
"X251",32.5,69.925
"X252",32.6,82.1290322580645
"X253",32.7,84.1290322580645
"X254",32.8,82.6451612903226
"X255",32.9,94.037037037037
"X256",33,99.4074074074074
"X257",33.1,127.368421052632
"X258",33.2,112.695652173913
"X259",33.3,118.75
"X260",33.4,128.375
"X261",33.5,155.8
"X262",33.6,223
"X263",33.7,203.722222222222
"X264",33.8,221.055555555556
"X265",33.9,178.857142857143
"X266",34,180.04347826087
"X267",34.1,192.428571428571
"X268",34.2,190.954545454545
"X269",34.3,197.25
"X270",34.4,202.76
"X271",34.5,163.233333333333
"X272",34.6,187.758620689655
"X273",34.7,174.5
"X274",34.8,164.757575757576
"X275",34.9,164.27027027027
"X276",35,165.945945945946
"X277",35.1,150.358974358974
"X278",35.2,139.627906976744
"X279",35.3,156.441860465116
"X280",35.4,147.777777777778
"X281",35.5,138.367346938776
"X282",35.6,139.019230769231
"X283",35.7,138.327272727273
"X284",35.8,127.965517241379
"X285",35.9,122.206349206349
"X286",36,126
"X287",36.1,109.479452054795
"X288",36.2,113.697368421053
"X289",36.3,109.833333333333
"X290",36.4,109.743902439024
"X291",36.5,110.469135802469
"X292",36.6,109.32183908046
"X293",36.7,105.662921348315
"X294",36.8,112.633333333333
"X295",36.9,107.715789473684
"X296",37,104.673469387755
