"","depth_mm","Mn"
"X206",28,106.675159235669
"X207",28.1,106.324840764331
"X208",28.2,107.343949044586
"X209",28.3,107.184713375796
"X210",28.4,107.59872611465
"X211",28.5,108.847133757962
"X212",28.6,108.407643312102
"X213",28.7,101.140127388535
"X214",28.8,98.5668789808917
"X215",28.9,99.203821656051
"X216",29,98.3503184713376
"X217",29.1,98.2420382165605
"X218",29.2,101.936305732484
"X219",29.3,99.8917197452229
"X220",29.4,99.5668789808917
"X221",29.5,98.8152866242038
"X222",29.6,98.2611464968153
"X223",29.7,96.8343949044586
"X224",29.8,98.1082802547771
"X225",29.9,99.1146496815287
"X226",30,98.9745222929936
"X227",30.1,99.4777070063694
"X228",30.2,100.082802547771
"X229",30.3,96.5668789808917
"X230",30.4,97.4394904458599
"X231",30.5,98.1592356687898
"X232",30.6,96.8089171974522
"X233",30.7,96.5668789808917
"X234",30.8,94.6687898089172
"X235",30.9,96.8343949044586
"X236",31,95.6942675159236
"X237",31.1,97.7707006369427
"X238",31.2,97.6242038216561
"X239",31.3,96.9936305732484
"X240",31.4,100.71974522293
"X241",31.5,99.515923566879
"X242",31.6,98.312101910828
"X243",31.7,99.1592356687898
"X244",31.8,101.382165605096
"X245",31.9,101.407643312102
"X246",32,98.7579617834395
"X247",32.1,99.968152866242
"X248",32.2,95.3248407643312
"X249",32.3,103.184713375796
"X250",32.4,100.445859872611
"X251",32.5,99.2420382165605
"X252",32.6,100.757961783439
"X253",32.7,100.133757961783
"X254",32.8,104.515923566879
"X255",32.9,101.891719745223
"X256",33,104.458598726115
"X257",33.1,103.165605095541
"X258",33.2,103.407643312102
"X259",33.3,100.605095541401
"X260",33.4,102.375796178344
"X261",33.5,104.84076433121
"X262",33.6,100.133757961783
"X263",33.7,98.7643312101911
"X264",33.8,98.2738853503185
"X265",33.9,100.566878980892
"X266",34,101.815286624204
"X267",34.1,102.388535031847
"X268",34.2,102.573248407643
"X269",34.3,104.535031847134
"X270",34.4,104.375796178344
"X271",34.5,103.624203821656
"X272",34.6,101.968152866242
"X273",34.7,103.063694267516
"X274",34.8,105.59872611465
"X275",34.9,105.43949044586
"X276",35,109.165605095541
"X277",35.1,112.235668789809
"X278",35.2,107.547770700637
"X279",35.3,113.484076433121
"X280",35.4,113.980891719745
"X281",35.5,114.828025477707
"X282",35.6,115.662420382166
"X283",35.7,117.547770700637
"X284",35.8,118.414012738854
"X285",35.9,119.082802547771
"X286",36,121.484076433121
"X287",36.1,124.71974522293
"X288",36.2,125.248407643312
"X289",36.3,125.815286624204
"X290",36.4,129.96178343949
"X291",36.5,135.656050955414
"X292",36.6,138.471337579618
"X293",36.7,135.936305732484
"X294",36.8,139.312101910828
"X295",36.9,138.178343949045
"X296",37,138.331210191083
"X297",37.1,136.222929936306
"X298",37.2,142.178343949045
"X299",37.3,144.630573248408
"X300",37.4,141.808917197452
"X301",37.5,146.968152866242
"X302",37.6,148.420382165605
"X303",37.7,150.484076433121
"X304",37.8,153.605095541401
"X305",37.9,151.872611464968
"X306",38,156.15923566879
"X307",38.1,159.484076433121
"X308",38.2,159.515923566879
"X309",38.3,156.96178343949
"X310",38.4,160.923566878981
"X311",38.5,165.617834394904
"X312",38.6,159.980891719745
"X313",38.7,162.910828025478
"X314",38.8,159.464968152866
"X315",38.9,159.343949044586
"X316",39,159.783439490446
"X317",39.1,162.133757961783
"X318",39.2,160.31847133758
"X319",39.3,162.71974522293
"X320",39.4,160.031847133758
"X321",39.5,158.095541401274
"X322",39.6,159.891719745223
"X323",39.7,160.050955414013
"X324",39.8,162.248407643312
"X325",39.9,162.152866242038
"X326",40,155.203821656051
"X327",40.1,158.885350318471
"X328",40.2,161.535031847134
"X329",40.3,158.541401273885
"X330",40.4,161.031847133758
"X331",40.5,162.891719745223
"X332",40.6,156.929936305732
"X333",40.7,158.140127388535
"X334",40.8,159.089171974522
"X335",40.9,155.687898089172
"X336",41,159.605095541401
"X337",41.1,160.222929936306
"X338",41.2,159.929936305732
"X339",41.3,158.687898089172
"X340",41.4,162.407643312102
"X341",41.5,162.108280254777
"X342",41.6,161.108280254777
"X343",41.7,160.261146496815
"X344",41.8,157.649681528662
"X345",41.9,157.070063694268
"X346",42,158.28025477707
"X347",42.1,158.458598726115
"X348",42.2,158.331210191083
"X349",42.3,155.152866242038
"X350",42.4,157.859872611465
"X351",42.5,159.337579617834
"X352",42.6,158.324840764331
"X353",42.7,156.662420382166
"X354",42.8,155.949044585987
"X355",42.9,153.248407643312
"X356",43,153.458598726115
"X357",43.1,153.662420382166
"X358",43.2,154.547770700637
"X359",43.3,152.522292993631
"X360",43.4,152.675159235669
"X361",43.5,152.477707006369
"X362",43.6,150.821656050955
"X363",43.7,148.178343949045
"X364",43.8,147.84076433121
"X365",43.9,149.929936305732
"X366",44,151.522292993631
"X367",44.1,151.738853503185
"X368",44.2,147.15923566879
"X369",44.3,147.713375796178
"X370",44.4,147.426751592357
"X371",44.5,143.751592356688
"X372",44.6,144.509554140127
"X373",44.7,143.96178343949
"X374",44.8,144.87898089172
"X375",44.9,146.59872611465
"X376",45,145.853503184713
"X377",45.1,147.770700636943
"X378",45.2,151.388535031847
"X379",45.3,151.573248407643
"X380",45.4,152.191082802548
"X381",45.5,157.573248407643
"X382",45.6,154.28025477707
"X383",45.7,153.382165605096
"X384",45.8,152.573248407643
"X385",45.9,153.477707006369
"X386",46,147.847133757962
"X387",46.1,150.770700636943
"X388",46.2,151.114649681529
"X389",46.3,148.707006369427
"X390",46.4,150.955414012739
"X391",46.5,146.929936305732
"X392",46.6,146.025477707006
"X393",46.7,139.477707006369
"X394",46.8,142.273885350318
"X395",46.9,143.452229299363
"X396",47,141.579617834395
"X397",47.1,143.96178343949
"X398",47.2,137.222929936306
"X399",47.3,134.656050955414
"X400",47.4,137.414012738854
"X401",47.5,138.592356687898
"X402",47.6,138.420382165605
"X403",47.7,138.68152866242
"X404",47.8,141.955414012739
"X405",47.9,141.630573248408
"X406",48,140.936305732484
"X407",48.1,145.178343949045
"X408",48.2,145.764331210191
"X409",48.3,152.369426751592
"X410",48.4,150.547770700637
"X411",48.5,148.713375796178
"X412",48.6,146.866242038217
"X413",48.7,141.369426751592
"X414",48.8,143.025477707006
"X415",48.9,143.630573248408
"X416",49,143.426751592357
"X417",49.1,142.03821656051
"X418",49.2,142.847133757962
"X419",49.3,145.662420382166
"X420",49.4,148.490445859873
"X421",49.5,144.133757961783
"X422",49.6,145.554140127389
"X423",49.7,148.732484076433
"X424",49.8,151.057324840764
"X425",49.9,150.261146496815
"X426",50,149.910828025478
"X427",50.1,147.585987261146
"X428",50.2,148.923566878981
"X429",50.3,148.573248407643
"X430",50.4,146.745222929936
"X431",50.5,146.063694267516
"X432",50.6,148.292993630573
"X433",50.7,149.407643312102
"X434",50.8,147.936305732484
"X435",50.9,144.630573248408
"X436",51,146.452229299363
"X437",51.1,144.904458598726
"X438",51.2,143.630573248408
"X439",51.3,142.59872611465
"X440",51.4,141.261146496815
"X441",51.5,137.356687898089
"X442",51.6,137.343949044586
"X443",51.7,131.324840764331
"X444",51.8,131.375796178344
"X445",51.9,128.71974522293
"X446",52,127.87898089172
"X447",52.1,133.630573248408
"X448",52.2,134.796178343949
"X449",52.3,133.31847133758
"X450",52.4,130.273885350318
"X451",52.5,135.133757961783
"X452",52.6,127.15923566879
"X453",52.7,122.700636942675
"X454",52.8,122.828025477707
"X455",52.9,124.910828025478
"X456",53,122.745222929936
"X457",53.1,126.484076433121
"X458",53.2,122.171974522293
"X459",53.3,124.414012738854
"X460",53.4,125.394904458599
"X461",53.5,116.923566878981
"X462",53.6,118.305732484076
"X463",53.7,115.847133757962
"X464",53.8,113.783439490446
"X465",53.9,114.522292993631
"X466",54,111.050955414013
"X467",54.1,112.656050955414
"X468",54.2,117.936305732484
"X469",54.3,113.203821656051
"X470",54.4,113.490445859873
"X471",54.5,114.375796178344
"X472",54.6,116.611464968153
"X473",54.7,116.452229299363
"X474",54.8,114.305732484076
"X475",54.9,107.471337579618
"X476",55,106.974522292994
"X477",55.1,106.891719745223
"X478",55.2,102.503184713376
"X479",55.3,100.980891719745
"X480",55.4,97.9044585987261
"X481",55.5,99.0891719745223
"X482",55.6,98.0955414012739
"X483",55.7,99.8407643312102
"X484",55.8,99.6242038216561
"X485",55.9,98.140127388535
"X486",56,102.993630573248
"X487",56.1,105.242914979757
"X488",56.2,103.595141700405
"X489",56.3,102.376518218623
"X490",56.4,103.906882591093
"X491",56.5,102.449392712551
"X492",56.6,103.024291497976
"X493",56.7,102.348178137652
"X494",56.8,106.048582995951
"X495",56.9,106.995951417004
"X496",57,109.315789473684
"X497",57.1,107.995951417004
"X498",57.2,101.765182186235
"X499",57.3,99.1093117408907
"X500",57.4,98.3643724696356
"X501",57.5,95.8663967611336
"X502",57.6,96.5141700404858
"X503",57.7,97.1012145748988
"X504",57.8,96.9311740890688
"X505",57.9,96.412955465587
"X506",58,94.8292682926829
"X507",58.1,98.5465587044534
"X508",58.2,99.7854251012146
"X509",58.3,100.599190283401
"X510",58.4,100.607287449393
"X511",58.5,98.4048582995951
"X512",58.6,98.9716599190283
"X513",58.7,100.34008097166
"X514",58.8,102.060728744939
"X515",58.9,102.02024291498
"X516",59,104.947368421053
"X517",59.1,106.635627530364
"X518",59.2,111.186234817814
"X519",59.3,115.222672064777
"X520",59.4,115.643724696356
"X521",59.5,116.012195121951
"X522",59.6,114.804081632653
"X523",59.7,114.089430894309
"X524",59.8,107.259109311741
"X525",59.9,82.7606837606838
"X526",60,74.6265060240964
"X527",60.1,122.625615763547
"X528",60.2,125.423645320197
"X529",60.3,123.847290640394
"X530",60.4,124.251231527094
"X531",60.5,126.79802955665
"X532",60.6,122.837438423645
"X533",60.7,124.586206896552
"X534",60.8,122.049261083744
"X535",60.9,121.950738916256
"X536",61,124.182266009852
"X537",61.1,121.847290640394
"X538",61.2,122.15763546798
"X539",61.3,121.325123152709
"X540",61.4,123.783251231527
"X541",61.5,125.369458128079
"X542",61.6,126
"X543",61.7,121.497536945813
"X544",61.8,123.039408866995
"X545",61.9,124.133004926108
"X546",62,125.044334975369
"X547",62.1,128.650246305419
"X548",62.2,129.428571428571
"X549",62.3,127.541871921182
"X550",62.4,129.655172413793
"X551",62.5,130.349753694581
"X552",62.6,132.024630541872
"X553",62.7,128.443349753695
"X554",62.8,129.536945812808
"X555",62.9,131.901477832512
"X556",63,132.147783251232
"X557",63.1,129.206896551724
"X558",63.2,125.822660098522
"X559",63.3,127.935960591133
"X560",63.4,127.837438423645
"X561",63.5,127.773399014778
"X562",63.6,122.960591133005
"X563",63.7,121.674876847291
"X564",63.8,118.689655172414
"X565",63.9,120.669950738916
"X566",64,118.738916256158
"X567",64.1,117.507389162562
"X568",64.2,116.423645320197
"X569",64.3,116.389162561576
"X570",64.4,113.172413793103
"X571",64.5,114.635467980296
"X572",64.6,113.477832512315
"X573",64.7,111.256157635468
"X574",64.8,112.931034482759
"X575",64.9,114.71921182266
"X576",65,115.073891625616
"X577",65.1,116.251231527094
"X578",65.2,116.152709359606
"X579",65.3,117.162561576355
"X580",65.4,116.192118226601
"X581",65.5,114.423645320197
"X582",65.6,114.014778325123
"X583",65.7,111.901477832512
"X584",65.8,112.896551724138
"X585",65.9,117.325123152709
"X586",66,112.940886699507
"X587",66.1,113.458128078818
"X588",66.2,115.206896551724
"X589",66.3,116.610837438424
"X590",66.4,113.985221674877
"X591",66.5,111.891625615764
"X592",66.6,112
"X593",66.7,116.285714285714
"X594",66.8,114.507389162562
"X595",66.9,113.783251231527
"X596",67,111.152709359606
"X597",67.1,109.940886699507
"X598",67.2,114.226600985222
"X599",67.3,115.768472906404
"X600",67.4,115.512315270936
"X601",67.5,117.029556650246
"X602",67.6,117.635467980296
"X603",67.7,114.261083743842
"X604",67.8,115.147783251232
"X605",67.9,115.246305418719
"X606",68,115.576354679803
"X607",68.1,115.049261083744
"X608",68.2,114.389162561576
"X609",68.3,113.261083743842
"X610",68.4,114.192118226601
"X611",68.5,115.128078817734
"X612",68.6,113.211822660099
"X613",68.7,113.679802955665
"X614",68.8,114.522167487685
"X615",68.9,114.024630541872
"X616",69,115.871921182266
"X617",69.1,114.059113300493
"X618",69.2,115.931034482759
"X619",69.3,119.039408866995
"X620",69.4,116.172413793103
"X621",69.5,112.935960591133
"X622",69.6,113.733990147783
"X623",69.7,111.566502463054
"X624",69.8,110.295566502463
"X625",69.9,112.073891625616
"X626",70,113.655172413793
"X627",70.1,109.620689655172
"X628",70.2,108.788177339901
"X629",70.3,108.995073891626
"X630",70.4,110.216748768473
"X631",70.5,110.807881773399
"X632",70.6,109.349753694581
"X633",70.7,108.625615763547
"X634",70.8,108.778325123153
"X635",70.9,107.650246305419
"X636",71,108.182266009852
"X637",71.1,107.650246305419
"X638",71.2,107.522167487685
"X639",71.3,105.098522167488
"X640",71.4,104.20197044335
"X641",71.5,105.778325123153
"X642",71.6,103.497536945813
"X643",71.7,107.054187192118
"X644",71.8,105.51724137931
"X645",71.9,108.133004926108
"X646",72,110.330049261084
"X647",72.1,110.758620689655
"X648",72.2,112.128078817734
"X649",72.3,111.699507389163
"X650",72.4,112.177339901478
"X651",72.5,111.083743842365
"X652",72.6,112.674876847291
"X653",72.7,113.743842364532
"X654",72.8,112.709359605911
"X655",72.9,113.029556650246
"X656",73,113.325123152709
"X657",73.1,111.07881773399
"X658",73.2,113.674876847291
"X659",73.3,111.699507389163
"X660",73.4,113.724137931034
"X661",73.5,115.906403940887
"X662",73.6,113.5960591133
"X663",73.7,115.261083743842
"X664",73.8,115.334975369458
"X665",73.9,114.492610837438
"X666",74,113.768472906404
"X667",74.1,112.911330049261
"X668",74.2,114.004926108374
"X669",74.3,118.71921182266
"X670",74.4,119.251231527094
"X671",74.5,125.206896551724
"X672",74.6,124.684729064039
"X673",74.7,128.5960591133
"X674",74.8,127.211822660099
"X675",74.9,135.463054187192
"X676",75,132.758620689655
"X677",75.1,131.527093596059
"X678",75.2,133.51724137931
"X679",75.3,133.098522167488
"X680",75.4,135.192118226601
"X681",75.5,137.064039408867
"X682",75.6,137.246305418719
"X683",75.7,139.729064039409
"X684",75.8,137.931034482759
"X685",75.9,136.507389162562
"X686",76,137.024630541872
"X687",76.1,136.512315270936
"X688",76.2,135.168316831683
"X689",76.3,131.673267326733
"X690",76.4,131.980295566502
"X691",76.5,132.576354679803
"X692",76.6,131.009852216749
"X693",76.7,131.379310344828
"X694",76.8,132.714285714286
"X695",76.9,132.748768472906
"X696",77,129.339901477833
"X697",77.1,131.15763546798
"X698",77.2,133.083743842365
"X699",77.3,129.896551724138
"X700",77.4,135.783251231527
"X701",77.5,132.586206896552
"X702",77.6,130.955665024631
"X703",77.7,128.088669950739
"X704",77.8,125.039408866995
"X705",77.9,126.325123152709
"X706",78,128.009852216749
"X707",78.1,129.541871921182
"X708",78.2,130.024630541872
"X709",78.3,125.28078817734
"X710",78.4,125.073891625616
"X711",78.5,128.4039408867
"X712",78.6,128.684729064039
"X713",78.7,130.985221674877
"X714",78.8,131.068965517241
"X715",78.9,132.192118226601
"X716",79,133.034482758621
"X717",79.1,132.793103448276
"X718",79.2,133.192118226601
"X719",79.3,132.733990147783
"X720",79.4,129.837438423645
"X721",79.5,126.177339901478
"X722",79.6,125.275862068966
"X723",79.7,126.990147783251
"X724",79.8,123.84236453202
"X725",79.9,125.758620689655
"X726",80,125.487684729064
"X727",80.1,126.458128078818
"X728",80.2,124.014778325123
"X729",80.3,126.76354679803
"X730",80.4,126.665024630542
"X731",80.5,127.054187192118
"X732",80.6,126.748768472906
"X733",80.7,132.418719211823
"X734",80.8,130.87684729064
"X735",80.9,134.443349753695
"X736",81,133.704433497537
"X737",81.1,132.285714285714
"X738",81.2,129.586206896552
"X739",81.3,129.024630541872
"X740",81.4,129.413793103448
"X741",81.5,128.43842364532
"X742",81.6,124.935960591133
"X743",81.7,124.458128078818
"X744",81.8,122.56157635468
"X745",81.9,120.733990147783
"X746",82,118.103448275862
"X747",82.1,119.266009852217
"X748",82.2,119.650246305419
"X749",82.3,118.709359605911
"X750",82.4,118.906403940887
"X751",82.5,118.349753694581
"X752",82.6,117.857142857143
"X753",82.7,117.990147783251
"X754",82.8,117.320197044335
"X755",82.9,118.300492610837
"X756",83,118.310344827586
"X757",83.1,117.576354679803
"X758",83.2,117.532019704433
"X759",83.3,120.28078817734
"X760",83.4,119.507389162562
"X761",83.5,123.852216748768
"X762",83.6,125.28078817734
"X763",83.7,123.610837438424
"X764",83.8,125.970443349754
"X765",83.9,124.034482758621
"X766",84,124.955665024631
"X767",84.1,126.724137931034
"X768",84.2,126.837438423645
"X769",84.3,128.507389162562
"X770",84.4,128.098522167488
"X771",84.5,127.866995073892
"X772",84.6,130.556650246305
"X773",84.7,132.837438423645
"X774",84.8,134.004926108374
"X775",84.9,133.300492610837
"X776",85,134.167487684729
"X777",85.1,137.428571428571
"X778",85.2,135.536945812808
"X779",85.3,136.985221674877
"X780",85.4,139.684729064039
"X781",85.5,145.610837438424
"X782",85.6,142.458128078818
"X783",85.7,142.339901477833
"X784",85.8,141.807881773399
"X785",85.9,143.246305418719
"X786",86,143.275862068966
"X787",86.1,146.43842364532
"X788",86.2,143.118226600985
"X789",86.3,146
"X790",86.4,146.5960591133
"X791",86.5,146.832512315271
"X792",86.6,146.783251231527
"X793",86.7,146.911330049261
"X794",86.8,145.655172413793
"X795",86.9,143.310344827586
"X796",87,141.92118226601
"X797",87.1,144.546798029557
"X798",87.2,143.768472906404
"X799",87.3,147.054187192118
"X800",87.4,145.35960591133
"X801",87.5,144.655172413793
"X802",87.6,145.581280788177
"X803",87.7,145.384236453202
"X804",87.8,142.512315270936
"X805",87.9,145.610837438424
"X806",88,143.147783251232
"X807",88.1,143.369458128079
"X808",88.2,144
"X809",88.3,140.635467980296
"X810",88.4,139.669950738916
"X811",88.5,140.71921182266
"X812",88.6,140.886699507389
"X813",88.7,142.847290640394
"X814",88.8,143.615763546798
"X815",88.9,140.896551724138
"X816",89,138.43842364532
"X817",89.1,138.23645320197
"X818",89.2,134.216748768473
"X819",89.3,134.266009852217
"X820",89.4,135.866995073892
"X821",89.5,132.788177339901
"X822",89.6,135.428571428571
"X823",89.7,135.182266009852
"X824",89.8,132.290640394089
"X825",89.9,132.793103448276
"X826",90,130.901477832512
"X827",90.1,131.492610837438
"X828",90.2,133.394088669951
"X829",90.3,132.950738916256
"X830",90.4,130.655172413793
"X831",90.5,130.793103448276
"X832",90.6,132.64039408867
"X833",90.7,128.743842364532
"X834",90.8,124.300492610837
"X835",90.9,120.600985221675
"X836",91,122.443349753695
"X837",91.1,118.822660098522
"X838",91.2,118.044334975369
"X839",91.3,117.443349753695
"X840",91.4,118.901477832512
"X841",91.5,118.812807881773
"X842",91.6,115.458128078818
"X843",91.7,116.926108374384
"X844",91.8,118.162561576355
"X845",91.9,120.07881773399
"X846",92,118.822660098522
"X847",92.1,117.290640394089
"X848",92.2,120.182266009852
"X849",92.3,119.192118226601
"X850",92.4,124.433497536946
"X851",92.5,125
"X852",92.6,128.931034482759
"X853",92.7,131.408866995074
"X854",92.8,132.591133004926
"X855",92.9,128.522167487685
"X856",93,125.655172413793
"X857",93.1,126.147783251232
"X858",93.2,124.51724137931
"X859",93.3,124.660098522167
"X860",93.4,117.295566502463
"X861",93.5,121.133004926108
"X862",93.6,118.610837438424
"X863",93.7,122.576354679803
"X864",93.8,119.009852216749
"X865",93.9,119.935960591133
"X866",94,120.866995073892
"X867",94.1,120.881773399015
"X868",94.2,119.467980295567
"X869",94.3,115.443349753695
"X870",94.4,113.315270935961
"X871",94.5,112.413793103448
"X872",94.6,114.645320197044
"X873",94.7,118.467980295567
"X874",94.8,120.955665024631
"X875",94.9,120.704433497537
"X876",95,121.453201970443
"X877",95.1,123.837438423645
"X878",95.2,123.586206896552
"X879",95.3,123.458128078818
"X880",95.4,124.064039408867
"X881",95.5,122.87684729064
"X882",95.6,121.802955665025
"X883",95.7,121.536945812808
"X884",95.8,121.07881773399
"X885",95.9,123.448275862069
"X886",96,122.625615763547
"X887",96.1,122.84236453202
"X888",96.2,125.4039408867
"X889",96.3,122.35960591133
"X890",96.4,119.684729064039
"X891",96.5,117.35960591133
"X892",96.6,113.610837438424
"X893",96.7,113.655172413793
"X894",96.8,115.108374384236
"X895",96.9,115.004926108374
"X896",97,115.556650246305
"X897",97.1,116.300492610837
"X898",97.2,117.068965517241
"X899",97.3,114.679802955665
"X900",97.4,116.413793103448
"X901",97.5,117.773399014778
"X902",97.6,117.187192118227
"X903",97.7,119.477832512315
"X904",97.8,120.275862068966
"X905",97.9,118.172413793103
"X906",98,120.689655172414
"X907",98.1,119.886699507389
"X908",98.2,119.039408866995
"X909",98.3,119.990147783251
"X910",98.4,118.852216748768
"X911",98.5,120.896551724138
"X912",98.6,120.256157635468
"X913",98.7,120.344827586207
"X914",98.8,118.428571428571
"X915",98.9,115.674876847291
"X916",99,115.881773399015
"X917",99.1,115.709359605911
"X918",99.2,117.07881773399
"X919",99.3,116.152709359606
"X920",99.4,118.665024630542
"X921",99.5,115.660098522167
"X922",99.6,115.07881773399
"X923",99.7,115.443349753695
"X924",99.8,114.92118226601
"X925",99.9,113.266009852217
"X926",100,115.019704433498
"X927",100.1,113.507389162562
"X928",100.2,111.738916256158
"X929",100.3,109.418719211823
"X930",100.4,111.408866995074
"X931",100.5,111.990147783251
"X932",100.6,110.684729064039
"X933",100.7,111.778325123153
"X934",100.8,112.35960591133
"X935",100.9,112.502463054187
"X936",101,111.827586206897
