"DEPTH_WMSF","HCGR"
0.1524,2.1874
0.3048,1.8542
0.4572,2.3934
0.6096,2.0114
0.762,1.676
0.9144,3.638
1.0668,1.5388
1.2192,3.1984
1.3716,4.6016
1.524,4.209
1.6764,4.4702
1.8288,5.9184
1.9812,6.5622
2.1336,8.2022
2.286,8.7022
2.4384,9.7596
2.5908,7.0076
2.7432,8.4954
2.8956,7.3788
3.048,5.8938
3.2004,5.9394
3.3528,6.4554
3.5052,6.1814
3.6576,6.6128
3.81,5.2518
3.9624,5.8146
4.1148,6.0342
4.2672,5.7854
4.4196,4.8392
4.572,4.8066
4.7244,4.6838
4.8768,4.5984
5.0292,3.2546
5.1816,2.5652
5.334,3.2904
5.4864,3.2164
5.6388,2.8318
5.7912,3.556
5.9436,4.0324
6.096,4.0564
6.2484,4.2344
6.4008,4.052
6.5532,4.2944
6.7056,4.6432
6.858,5.8766
7.0104,4.7684
7.1628,4.9992
7.3152,5.2578
7.4676,5.0596
7.62,4.7058
7.7724,5.3412
7.9248,6.0566
8.0772,6.7626
8.2296,6.0392
8.382,5.446
8.5344,3.6368
8.6868,4.5052
8.8392,5.0954
8.9916,5.5044
9.144,4.6354
9.2964,4.8032
9.4488,4.3976
9.6012,4.8536
9.7536,4.5516
9.906,4.4038
10.0584,4.0662
10.2108,4.4448
10.3632,4.2264
10.5156,4.0988
10.668,4.1078
10.8204,4.6218
10.9728,4.765
11.1252,4.39
11.2776,4.67
11.43,5.0764
11.5824,5.6586
11.7348,6.415
11.8872,7.812
12.0396,6.8658
12.192,6.5326
12.3444,6.8778
12.4968,6.3976
12.6492,6.4422
12.8016,8.158
12.954,7.4144
13.1064,7.7872
13.2588,7.109
13.4112,8.3266
13.5636,7.1992
13.716,6.9332
13.8684,6.1964
14.0208,6.9908
14.1732,6.5012
14.3256,5.3548
14.478,4.209
14.6304,2.703
14.7828,1.1006
14.9352,1.4262
15.0876,1.6416
15.24,1.3962
15.3924,1.2846
15.5448,1.386
15.6972,0.5404
15.8496,0.8434
16.002,1.427
16.1544,2.0112
16.3068,4.1242
16.4592,5.6972
16.6116,5.0016
16.764,6.1256
16.9164,5.9644
17.0688,6.0662
17.2212,7.0218
17.3736,7.3384
17.526,6.3756
17.6784,5.5896
17.8308,5.9756
17.9832,7.1176
18.1356,7.039
18.288,7.5248
18.4404,6.2948
18.5928,6.1604
18.7452,6.9668
18.8976,6.7476
19.05,8.9786
19.2024,8.6236
19.3548,9.159
19.5072,7.908
19.6596,7.9
19.812,7.248
19.9644,8.2972
20.1168,10.0642
20.2692,10.3668
20.4216,9.97
20.574,8.8366
20.7264,7.4266
20.8788,7.9804
21.0312,7.479
21.1836,7.4736
21.336,7.4164
21.4884,8.2458
21.6408,7.7656
21.7932,7.286
21.9456,7.3486
22.098,7.8868
22.2504,6.1856
22.4028,8.0092
22.5552,7.638
22.7076,7.1228
22.86,6.8512
23.0124,7.4688
23.1648,7.2698
23.3172,7.6366
23.4696,6.9748
23.622,5.669
23.7744,5.7274
23.9268,7.4306
24.0792,6.7614
24.2316,5.838
24.384,7.2164
24.5364,8.1012
24.6888,6.8674
24.8412,7.4448
24.9936,8.5882
25.146,10.9026
25.2984,12.1076
25.4508,11.3034
25.6032,10.276
25.7556,10.1818
25.908,11.6068
26.0604,10.5836
26.2128,9.3844
26.3652,8.1002
26.5176,6.3094
26.67,5.9904
26.8224,6.9204
26.9748,7.1258
27.1272,6.8464
27.2796,6.3748
27.432,5.7184
27.5844,5.115
27.7368,4.6582
27.8892,4.7094
28.0416,5.9272
28.194,7.6828
28.3464,6.78
28.4988,4.9988
28.6512,6.3866
28.8036,6.3526
28.956,6.955
29.1084,6.0024
29.2608,5.8656
29.4132,5.7484
29.5656,4.774
29.718,3.884
29.8704,4.0376
30.0228,5.9232
30.1752,5.8966
30.3276,4.4898
30.48,3.5232
30.6324,4.3338
30.7848,4.3954
30.9372,4.979
31.0896,5.0694
31.242,7.1666
31.3944,8.2554
31.5468,8.6282
31.6992,7.821
31.8516,7.479
32.004,8.2334
32.1564,6.971
32.3088,7.2004
32.4612,5.8088
32.6136,6.2788
32.766,6.5406
32.9184,4.991
33.0708,5.099
33.2232,3.7394
33.3756,4.5268
33.528,5.3644
33.6804,5.5822
33.8328,7.7998
33.9852,6.762
34.1376,6.5638
34.29,5.6302
34.4424,4.6088
34.5948,6.4726
34.7472,6.9372
34.8996,8.5732
35.052,6.6176
35.2044,5.716
35.3568,5.0622
35.5092,5.6806
35.6616,7.406
35.814,6.5144
35.9664,6.6322
36.1188,7.1888
36.2712,7.6002
36.4236,6.7224
36.576,4.8596
36.7284,5.1938
36.8808,5.2856
37.0332,5.4406
37.1856,4.9048
37.338,4.0654
37.4904,5.962
37.6428,5.4284
37.7952,5.7852
37.9476,6.3182
38.1,6.4026
38.2524,6.5598
38.4048,7.233
38.5572,7.3948
38.7096,7.1158
38.862,6.6724
39.0144,6.9244
39.1668,5.381
39.3192,6.1558
39.4716,5.893
39.624,6.0612
39.7764,5.9222
39.9288,6.2384
40.0812,3.8162
40.2336,3.834
40.386,3.2792
40.5384,3.6784
40.6908,4.4546
40.8432,3.7552
40.9956,2.4718
41.148,2.9448
41.3004,2.5138
41.4528,2.8096
41.6052,3.0926
41.7576,4.4172
41.91,4.9722
42.0624,5.1116
42.2148,4.5534
42.3672,4.9564
42.5196,4.3672
42.672,5.384
42.8244,4.4538
42.9768,5.448
