"Depth..m.","Gamma.Ray"
181.9656,13.7986
182.118,12.8823
182.2704,11.522
182.4228,10.4029
182.5752,9.9082
182.7276,10.1694
182.88,10.9346
183.0324,11.6493
183.1848,11.9009
183.3372,11.7028
183.4896,11.4803
183.642,11.5533
183.7944,11.7675
183.9468,11.7295
184.0992,11.3939
184.2516,11.1551
184.404,11.2161
184.5564,11.4852
184.7088,11.8423
184.8612,12.161
185.0136,12.4132
185.166,12.689
185.3184,13.0484
185.4708,13.6543
185.6232,14.3932
185.7756,14.155
185.928,12.5453
186.0804,10.9053
186.2328,10.2444
186.3852,10.4935
186.5376,10.9909
186.69,11.2005
186.8424,11.4505
186.9948,12.1119
187.1472,12.6076
187.2996,12.6743
187.452,13.299
187.6044,14.707
187.7568,15.5601
187.9092,15.244
188.0616,14.5172
188.214,14.0385
188.3664,13.7722
188.5188,13.3238
188.6712,12.5875
188.8236,11.8289
188.976,11.1765
189.1284,10.6148
189.2808,10.1143
189.4332,9.6955
189.5856,9.6943
189.738,10.3693
189.8904,11.1724
190.0428,11.2321
190.1952,10.4715
190.3476,9.4464
190.5,8.6586
190.6524,8.6133
190.8048,9.4199
190.9572,10.4267
191.1096,10.9724
191.262,10.9547
191.4144,10.7459
191.5668,10.7171
191.7192,10.6997
191.8716,10.3387
192.024,9.7135
192.1764,9.2422
192.3288,9.295
192.4812,9.9489
192.6336,10.8666
192.786,11.431
192.9384,11.2941
193.0908,10.8103
193.2432,10.5421
193.3956,10.4492
193.548,10.1381
193.7004,9.6635
193.8528,9.4165
194.0052,9.4192
194.1576,9.2777
194.31,8.8591
194.4624,8.5698
194.6148,8.7339
194.7672,9.3129
194.9196,9.9878
195.072,10.0769
195.2244,9.3475
195.3768,8.3646
195.5292,7.5353
195.6816,7.173
195.834,7.6916
195.9864,8.7499
196.1388,9.5354
196.2912,9.8195
196.4436,9.8754
196.596,9.7604
196.7484,9.3672
196.9008,9.1705
197.0532,9.7087
197.2056,10.6246
197.358,11.3345
197.5104,11.6611
197.6628,11.5811
197.8152,11.3993
197.9676,11.6499
198.12,12.1014
198.2724,12.045
198.4248,11.4521
198.5772,10.7391
198.7296,10.2328
198.882,10.0192
199.0344,9.8488
199.1868,9.5258
199.3392,9.2338
199.4916,9.2763
199.644,9.6537
199.7964,9.8913
199.9488,9.5368
200.1012,8.832
200.2536,8.4061
200.406,8.4467
200.5584,8.6766
200.7108,8.9771
200.8632,9.3383
201.0156,9.4122
201.168,8.8724
201.3204,8.0189
201.4728,7.4852
201.6252,7.6351
201.7776,8.4662
201.93,9.5615
202.0824,10.2786
202.2348,10.3121
202.3872,9.7564
202.5396,9.0841
202.692,9.1839
202.8444,10.289
202.9968,11.6058
203.1492,12.4703
203.3016,12.6195
203.454,12.0301
203.6064,11.0341
203.7588,10.1327
203.9112,9.835
204.0636,10.1449
204.216,10.372
204.3684,10.2182
204.5208,10.1992
204.6732,10.5669
204.8256,10.7471
204.978,10.4223
205.1304,10.0498
205.2828,9.9849
205.4352,10.0593
205.5876,9.9249
205.74,9.5654
205.8924,9.3035
206.0448,9.3221
206.1972,9.5313
206.3496,9.8703
206.502,10.4518
206.6544,10.9016
206.8068,10.5691
206.9592,9.8044
207.1116,9.4582
207.264,9.6705
207.4164,9.9991
207.5688,10.0403
207.7212,10.0308
207.8736,10.4193
208.026,11.0611
208.1784,11.5752
208.3308,11.7631
208.4832,11.4889
208.6356,10.8379
208.788,10.3765
208.9404,10.6108
209.0928,11.6256
209.2452,12.874
209.3976,13.6069
209.55,13.6311
209.7024,13.0916
209.8548,12.1711
210.0072,11.1661
210.1596,10.4393
210.312,10.1144
210.4644,10.2809
210.6168,10.9081
210.7692,11.1408
210.9216,10.3733
211.074,9.1644
211.2264,8.7165
211.3788,9.7868
211.5312,11.5335
211.6836,12.5984
211.836,12.7359
211.9884,12.4395
212.1408,12.24
212.2932,12.3524
212.4456,12.7407
212.598,13.0475
212.7504,12.6772
212.9028,11.6283
213.0552,10.6339
213.2076,10.3678
213.36,10.5813
213.5124,10.5264
213.6648,10.0794
213.8172,9.7861
213.9696,10.1977
214.122,11.0659
214.2744,11.5731
214.4268,11.3946
214.5792,10.8311
214.7316,10.4467
214.884,10.5863
215.0364,10.9592
215.1888,10.8898
215.3412,10.2195
215.4936,9.5358
215.646,9.1831
215.7984,9.125
215.9508,9.2882
216.1032,9.5267
216.2556,9.7127
216.408,9.8271
216.5604,9.7111
216.7128,9.2789
216.8652,8.8232
217.0176,8.7559
217.17,9.4396
217.3224,10.6543
217.4748,11.6146
217.6272,12.038
217.7796,12.0979
217.932,11.9775
218.0844,11.9868
218.2368,12.1944
218.3892,12.0569
218.5416,11.5447
218.694,11.1553
218.8464,11.0234
218.9988,10.9325
219.1512,10.5779
219.3036,10.161
219.456,10.2574
219.6084,11.1217
219.7608,11.9896
219.9132,12.1384
220.0656,11.8867
220.218,11.7439
220.3704,11.6525
220.5228,11.5745
220.6752,11.6566
220.8276,11.6807
220.98,11.1744
221.1324,10.2184
221.2848,9.5206
221.4372,9.6563
221.5896,10.2309
221.742,10.407
221.8944,9.9569
222.0468,9.3461
222.1992,8.9373
222.3516,8.762
222.504,8.7064
222.6564,9.1734
222.8088,10.2039
222.9612,10.3052
223.1136,9.7036
223.266,9.443
223.4184,9.2252
223.5708,9.2153
223.7232,9.7522
223.8756,10.5753
224.028,11.0963
224.1804,11.0089
224.3328,10.6677
224.4852,10.6374
224.6376,10.8505
224.79,10.9796
224.9424,10.7799
225.0948,10.4363
225.2472,10.1066
225.3996,9.8042
225.552,9.5343
225.7044,9.3534
225.8568,9.3212
226.0092,9.3749
226.1616,9.1723
226.314,8.6388
226.4664,8.0838
226.6188,8.1199
226.7712,8.6641
226.9236,9.1282
227.076,9.87
227.2284,11.2212
227.3808,11.8158
227.5332,10.9958
227.6856,9.7177
227.838,8.7943
227.9904,8.2493
228.1428,7.7724
228.2952,8.0069
228.4476,8.829
228.6,9.1618
228.7524,8.853
228.9048,8.6664
229.0572,8.8379
229.2096,8.9944
229.362,8.7893
229.5144,8.4965
229.6668,8.381
229.8192,8.4511
229.9716,8.741
230.124,8.7959
230.2764,8.198
230.4288,7.3987
230.5812,7.2917
230.7336,8.1158
230.886,9.3822
231.0384,10.0119
231.1908,9.7753
231.3432,9.1714
231.4956,8.4803
231.648,7.7139
231.8004,7.2196
231.9528,7.5905
232.1052,8.1621
232.2576,8.1197
232.41,7.3798
232.5624,7.1837
232.7148,8.0385
232.8672,9.1303
233.0196,10.0626
233.172,10.4854
233.3244,10.0287
233.4768,9.1456
233.6292,8.7014
233.7816,8.9642
233.934,9.2496
234.0864,9.1672
234.2388,8.8994
234.3912,8.7564
234.5436,8.9555
234.696,9.115
234.8484,9.0659
235.0008,9.0869
235.1532,9.5126
235.3056,10.2917
235.458,10.4203
235.6104,9.8418
235.7628,9.1404
235.9152,8.454
236.0676,7.7281
236.22,7.8263
236.3724,8.6615
236.5248,8.9828
236.6772,8.5075
236.8296,8.0902
236.982,8.2922
237.1344,8.7277
237.2868,8.7407
237.4392,8.515
237.5916,8.3835
237.744,8.503
237.8964,9.0685
238.0488,9.6975
238.2012,10.2804
238.3536,10.8337
238.506,11.3259
238.6584,11.6018
238.8108,11.1928
238.9632,9.8141
239.1156,8.7561
239.268,9.0451
239.4204,9.9269
239.5728,10.3894
239.7252,10.2855
239.8776,10.0565
240.03,10.1262
240.1824,10.7133
240.3348,11.5744
240.4872,12.0753
240.6396,11.8432
240.792,11.2598
240.9444,10.7324
241.0968,10.7351
241.2492,11.0838
241.4016,11.2214
241.554,10.737
241.7064,9.9783
241.8588,9.5452
242.0112,9.7515
242.1636,9.993
242.316,10.2305
242.4684,10.3358
242.6208,9.9219
242.7732,9.9164
242.9256,9.0821
243.078,8.2582
243.2304,8.4926
243.3828,9.5657
243.5352,10.2789
243.6876,10.4099
243.84,10.097
243.9924,9.4553
244.1448,8.8586
244.2972,8.5523
244.4496,8.8502
244.602,9.3855
244.7544,9.5686
244.9068,9.7923
245.0592,10.2706
245.2116,10.5496
245.364,10.3896
245.5164,10.0851
245.6688,10.0649
245.8212,10.1305
245.9736,10.0724
246.126,9.4592
246.2784,9.0853
246.4308,9.4724
246.5832,9.857
246.7356,9.8628
246.888,9.9595
247.0404,10.8635
247.1928,11.5928
247.3452,11.1919
247.4976,10.0854
247.65,9.018
247.8024,8.3936
247.9548,8.3377
248.1072,8.241
248.2596,8.2278
248.412,8.9012
248.5644,10.0962
248.7168,11.1021
248.8692,10.9567
249.0216,10.5556
249.174,10.7834
249.3264,11.3416
249.4788,11.244
249.6312,10.4089
249.7836,9.3838
249.936,8.5339
250.0884,8.1718
250.2408,8.3115
250.3932,9.2749
250.5456,10.4589
250.698,10.7361
250.8504,10.0386
251.0028,9.7814
251.1552,10.2352
251.3076,10.5633
251.46,10.352
251.6124,9.8148
251.7648,9.411
251.9172,9.4541
252.0696,9.3831
252.222,9.3901
252.3744,9.6828
252.5268,10.2289
252.6792,10.2258
252.8316,9.8371
252.984,9.9464
253.1364,10.7118
253.2888,11.8423
253.4412,12.1187
253.5936,11.1632
253.746,10.106
253.8984,9.7479
254.0508,9.9837
254.2032,10.116
254.3556,9.9871
254.508,9.6953
254.6604,9.5187
254.8128,9.2631
254.9652,9.1934
255.1176,9.4544
255.27,9.6904
