DEPTH_WMSF,HCGR
50.4444,8.3708
50.5968,6.8692
50.7492,6.2328
50.9016,6.1952
51.054,7.0836
51.2064,7.9708
51.3588,8.7456
51.5112,7.7868
51.6636,6.2748
51.816,5.9012
51.9684,5.0232
52.1208,4.7084
52.2732,6.196
52.4256,7.16
52.578,7.2904
52.7304,7.5596
52.8828,7.8652
53.0352,8.056
53.1876,8.3384
53.34,8.06
53.4924,8.4
53.6448,9.2048
53.7972,9.4984
53.9496,7.3564
54.102,6.4948
54.2544,7.6628
54.4068,8.3232
54.5592,9.1052
54.7116,10.702
54.864,13.2396
55.0164,14.8972
55.1688,13.088
55.3212,12.3564
55.4736,12.008
55.626,15.0452
55.7784,15.4888
55.9308,13.7852
56.0832,10.4308
56.2356,9.7764
56.388,10.3068
56.5404,9.0576
56.6928,8.56
56.8452,8.3492
56.9976,8.3224
57.15,8.2584
57.3024,7.5188
57.4548,7.0336
57.6072,7.9752
57.7596,9.8216
57.912,10.1348
58.0644,9.6216
58.2168,9.9192
58.3692,8.4092
58.5216,7.4788
58.674,6.8732
58.8264,6.196
58.9788,6.6552
59.1312,6.2156
59.2836,6.1744
59.436,5.5092
59.5884,6.7164
59.7408,6.2808
59.8932,6.7532
60.0456,6.7604
60.198,6.34
60.3504,7.0632
60.5028,10.7888
60.6552,12.2368
60.8076,12.5276
60.96,11.6676
61.1124,10.9936
61.2648,10.6608
61.4172,10.204
61.5696,10.0352
61.722,10.4004
61.8744,11.6012
62.0268,12.5996
62.1792,9.9216
62.3316,8.5984
62.484,8.2216
62.6364,8.558
62.7888,8.5396
62.9412,7.4252
63.0936,7.084
63.246,6.8172
63.3984,7.0684
63.5508,7.4588
63.7032,5.9152
63.8556,3.9728
64.008,3.5364
64.1604,3.1052
64.3128,2.7916
64.4652,4.4568
64.6176,5.4528
64.77,4.9948
64.9224,5.0768
65.0748,4.742
65.2272,4.5972
65.3796,5.2964
65.532,7.2508
65.6844,8.064
65.8368,7.21
65.9892,6.3696
66.1416,4.7712
66.294,4.1436
66.4464,5.7316
66.5988,5.8868
66.7512,6.1988
66.9036,5.3288
67.056,4.7156
67.2084,4.7284
67.3608,5.7288
67.5132,6.6844
67.6656,7.4664
67.818,7.7948
67.9704,8.6772
68.1228,7.7916
68.2752,8.0908
68.4276,9.0712
68.58,8.614
68.7324,9.7876
68.8848,9.9648
69.0372,8.484
69.1896,7.2208
69.342,5.9948
69.4944,5.8804
69.6468,7.6852
69.7992,8.2268
69.9516,9.4192
70.104,8.5128
70.2564,7.244
70.4088,7.7708
70.5612,8.926
70.7136,10.4392
70.866,10.3592
71.0184,10.14
71.1708,8.6856
71.3232,7.3664
71.4756,8.488
71.628,8.2684
71.7804,8.7976
71.9328,10.0552
72.0852,10.264
72.2376,10.928
72.39,10.2608
72.5424,10.4464
72.6948,10.652
72.8472,10.9536
72.9996,11.2284
73.152,9.9904
73.3044,8.6696
73.4568,6.918
73.6092,7.0408
73.7616,7.8792
73.914,7.5084
74.0664,8.1204
74.2188,6.9968
74.3712,6.0876
74.5236,5.3972
74.676,5.3168
74.8284,5.0648
74.9808,5.5016
75.1332,5.6424
75.2856,4.958
75.438,3.7896
75.5904,3.59
75.7428,3.71
75.8952,4.1676
76.0476,4.8864
76.2,5.8636
76.3524,7.2624
76.5048,8.86
76.6572,9.9676
76.8096,11.324
76.962,11.996
77.1144,11.0604
77.2668,9.776
77.4192,8.8216
77.5716,8.1356
77.724,9.5348
77.8764,13.5416
78.0288,3.9705
78.1812,5.3343
78.3336,6.0238
78.486,6.371
78.6384,6.3396
78.7908,6.756
78.9432,7.3014
79.0956,8.2598
79.248,8.9897
79.4004,8.5654
79.5528,7.9851
79.7052,7.3552
79.8576,6.9366
80.01,6.9386
80.1624,6.4076
80.3148,6.4969
80.4672,7.1435
80.6196,7.566
80.772,6.9847
80.9244,7.3135
81.0768,7.1555
81.2292,7.648
81.3816,7.9546
81.534,7.3157
81.6864,7.791
81.8388,8.0439
81.9912,7.7343
82.1436,7.1215
82.296,6.8275
82.4484,7.2169
82.6008,7.219
82.7532,7.9306
82.9056,7.9537
83.058,7.701
83.2104,7.9341
83.3628,7.8528
83.5152,7.9185
83.6676,8.9726
83.82,9.4077
83.9724,9.7133
84.1248,10.1497
84.2772,10.2692
84.4296,9.7808
84.582,8.6319
84.7344,7.9205
84.8868,7.6855
85.0392,8.1957
85.1916,7.6598
85.344,6.6359
85.4964,5.9309
85.6488,6.105
85.8012,6.8427
85.9536,6.915
86.106,6.9566
86.2584,6.7584
86.4108,7.2723
86.5632,7.2794
86.7156,7.2113
86.868,8.5458
87.0204,8.7693
87.1728,8.4621
87.3252,8.6368
87.4776,8.8679
87.63,10.139
87.7824,11.3127
87.9348,12.0525
88.0872,12.2876
88.2396,12.0435
88.392,11.8043
88.5444,11.2938
88.6968,10.9958
88.8492,10.9835
89.0016,10.4563
89.154,10.2723
89.3064,10.4592
89.4588,10.8707
89.6112,10.2173
89.7636,8.9788
89.916,8.6657
90.0684,8.528
90.2208,8.4439
90.3732,8.5971
90.5256,8.5687
90.678,8.1364
90.8304,7.9959
90.9828,7.5476
91.1352,7.1464
91.2876,6.8872
91.44,6.4677
91.5924,5.9168
91.7448,5.5126
91.8972,5.6312
92.0496,5.412
92.202,5.4149
92.3544,5.4798
92.5068,5.4695
92.6592,5.3121
92.8116,4.8942
92.964,4.4981
93.1164,4.7995
93.2688,4.8224
93.4212,5.1995
93.5736,4.7725
93.726,4.7943
93.8784,4.7369
94.0308,5.2216
94.1832,5.0764
94.3356,4.9167
94.488,5.1876
94.6404,5.6254
94.7928,6.0176
94.9452,7.4183
95.0976,7.632
95.25,7.2299
95.4024,6.9005
95.5548,6.3514
95.7072,5.9731
95.8596,7.0818
96.012,7.7822
96.1644,7.8341
96.3168,8.2777
96.4692,8.703
96.6216,9.3581
96.774,9.741
96.9264,11.1222
97.0788,11.4995
97.2312,11.8316
97.3836,12.2636
97.536,11.5707
97.6884,11.3711
97.8408,11.7419
97.9932,11.9893
98.1456,12.8428
98.298,13.0035
98.4504,12.9131
98.6028,12.3123
98.7552,12.6965
98.9076,13.4878
99.06,13.4129
99.2124,13.824
99.3648,12.3499
99.5172,12.46
99.6696,12.1365
99.822,12.2513
99.9744,11.7702
100.1268,12.0053
100.2792,11.5776
100.4316,10.7928
100.584,11.1781
100.7364,11.2563
100.8888,11.1523
101.0412,11.0208
101.1936,9.8988
101.346,8.8347
101.4984,8.0382
101.6508,7.3867
101.8032,7.3797
101.9556,8
102.108,8.9076
102.2604,7.418
102.4128,6.1654
102.5652,5.3764
102.7176,5.2995
102.87,4.813
103.0224,4.3342
103.1748,4.2247
103.3272,4.8819
103.4796,5.3188
103.632,5.2466
103.7844,5.564
103.9368,6.363
104.0892,6.3888
104.2416,6.6349
104.394,6.7468
104.5464,7.9473
104.6988,8.8233
104.8512,9.6209
105.0036,9.5814
105.156,10.048
105.3084,9.9282
105.4608,10.419
105.6132,10.233
105.7656,11.4192
105.918,11.045
106.0704,10.7001
106.2228,9.8717
106.3752,9.7518
106.5276,9.9267
106.68,10.4812
106.8324,10.103
106.9848,9.787
107.1372,9.3428
107.2896,8.9512
107.442,8.41
107.5944,8.4744
107.7468,8.1755
107.8992,8.0234
108.0516,8.3432
108.204,8.7384
108.3564,9.2875
108.5088,9.3054
108.6612,9.1596
108.8136,8.6739
108.966,9.2627
109.1184,9.6652
109.2708,11.1753
109.4232,13.8895
109.5756,15.4782
109.728,15.6307
109.8804,15.8996
110.0328,17.1321
110.1852,17.6217
110.3376,18.3872
110.49,18.9062
110.6424,17.6681
110.7948,17.0765
110.9472,16.1393
111.0996,16.3857
111.252,17.3636
111.4044,18.4062
111.5568,19.2649
111.7092,18.2393
111.8616,18.66
112.014,17.4353
112.1664,18.3643
112.3188,19.5987
112.4712,20.8467
112.6236,20.2808
112.776,18.9635
112.9284,19.4461
113.0808,19.7481
113.2332,18.7713
113.3856,18.5708
113.538,19.3078
113.6904,20.0805
113.8428,19.186
113.9952,18.985
114.1476,18.9901
114.3,18.0503
114.4524,18.2064
114.6048,17.5095
114.7572,16.8309
114.9096,16.0474
115.062,15.3819
115.2144,15.4517
115.3668,15.9557
115.5192,15.1895
115.6716,15.456
115.824,16.8649
115.9764,18.3604
116.1288,18.9177
116.2812,18.0732
116.4336,19.1434
116.586,19.9381
116.7384,20.6042
116.8908,18.4919
117.0432,17.6249
117.1956,18.2129
117.348,18.0836
117.5004,17.3367
117.6528,17.0116
117.8052,16.9688
117.9576,18.7481
118.11,19.7249
118.2624,20.2301
118.4148,19.9073
118.5672,20.5946
118.7196,21.3029
118.872,23.1416
119.0244,25.2421
119.1768,28.6214
119.3292,29.8653
119.4816,30.4461
119.634,28.3906
119.7864,28.0427
119.9388,28.4183
120.0912,28.6654
120.2436,28.2398
120.396,26.4693
120.5484,27.1521
120.7008,28.207
120.8532,27.5753
121.0056,25.4044
121.158,24.6576
121.3104,24.6169
121.4628,24.8005
121.6152,25.1939
121.7676,27.0255
121.92,26.9654
122.0724,25.0847
122.2248,23.2616
122.3772,22.5656
122.5296,23.1359
122.682,24.1252
122.8344,24.9645
122.9868,23.4248
123.1392,22.7023
123.2916,22.3395
123.444,22.1631
123.5964,22.7871
123.7488,23.5379
123.9012,22.6886
124.0536,21.0532
124.206,21.8272
124.3584,21.4211
124.5108,20.0062
124.6632,20.0502
124.8156,21.7429
124.968,22.7064
125.1204,22.3253
125.2728,21.5657
125.4252,19.907
125.5776,19.4291
125.73,19.6753
125.8824,18.2789
126.0348,18.2106
126.1872,18.3338
126.3396,19.0973
126.492,20.3266
126.6444,20.931
126.7968,22.0822
126.9492,21.8781
127.1016,22.9337
127.254,22.2125
127.4064,22.417
127.5588,23.3561
127.7112,23.93
127.8636,24.5313
128.016,26.7723
128.1684,28.2686
128.3208,28.071
128.4732,27.4866
128.6256,27.3405
128.778,25.4512
128.9304,24.2129
129.0828,22.5835
129.2352,21.3823
129.3876,20.2395
129.54,20.1449
129.6924,18.4671
129.8448,17.2348
129.9972,16.7329
130.1496,17.2203
130.302,17.7279
130.4544,17.6342
130.6068,17.5838
130.7592,18.9078
130.9116,18.5302
131.064,17.2759
131.2164,17.7671
131.3688,17.0408
131.5212,16.8602
131.6736,19.0551
131.826,21.1348
131.9784,20.9068
132.1308,19.9023
132.2832,17.6254
132.4356,15.2429
132.588,13.413
132.7404,13.0643
132.8928,13.5216
133.0452,17.6703
133.1976,20.2677
133.35,20.1961
133.5024,17.6849
133.6548,16.6254
133.8072,15.1562
133.9596,14.6924
134.112,14.2568
134.2644,14.7042
134.4168,16.5228
134.5692,17.8154
134.7216,16.864
134.874,16.7554
135.0264,15.2801
135.1788,14.0913
135.3312,12.9366
135.4836,13.9894
135.636,14.2174
135.7884,13.5983
135.9408,13.9585
136.0932,14.6041
136.2456,15.3446
136.398,15.8815
136.5504,15.0718
136.7028,14.0963
136.8552,13.9248
137.0076,13.8623
137.16,13.5608
137.3124,13.5705
137.4648,13.9093
137.6172,13.4785
137.7696,13.6695
137.922,13.9497
138.0744,14.852
138.2268,16.3716
138.3792,16.3891
138.5316,14.538
138.684,12.9165
138.8364,12.4961
138.9888,13.7752
139.1412,15.6316
139.2936,16.1295
139.446,15.1757
139.5984,14.4985
139.7508,15.0365
139.9032,17.3252
140.0556,19.7112
140.208,20.6689
140.3604,21.2613
140.5128,22.3874
140.6652,22.735
140.8176,21.9318
140.97,20.4049
141.1224,19.2832
141.2748,19.2929
141.4272,19.7574
141.5796,19.2667
141.732,19.0772
141.8844,19.2354
142.0368,19.2148
142.1892,18.6569
142.3416,18.2097
142.494,17.8935
142.6464,17.4653
142.7988,16.3106
142.9512,14.7726
143.1036,12.9886
143.256,11.5832
143.4084,11.6772
143.5608,12.4901
143.7132,12.9411
143.8656,12.5816
144.018,12.8256
144.1704,12.9108
144.3228,12.6817
144.4752,12.2834
144.6276,11.7192
144.78,12.2236
144.9324,12.7525
145.0848,11.9161
145.2372,10.7538
145.3896,9.8049
145.542,9.8298
145.6944,9.2884
145.8468,9.3342
145.9992,10.8615
146.1516,10.6447
146.304,11.0046
146.4564,10.3564
146.6088,11.1291
146.7612,11.896
146.9136,12.3455
147.066,12.0694
147.2184,12.1411
147.3708,12.8472
147.5232,14.0688
147.6756,14.3285
147.828,16.157
147.9804,16.4355
148.1328,16.8688
148.2852,15.7874
148.4376,15.6106
148.59,15.5787
148.7424,16.426
148.8948,16.6574
149.0472,16.7089
